code,name,market,foreign_net,sitc_net
2344,華邦電,TSE,25984321,-95073
3231,緯創,TSE,13991730,9288339
2408,南亞科,TSE,12888995,-101065
2356,英業達,TSE,12570486,-207142
2324,仁寶,TSE,9901837,1061555
2891,中信金,TSE,11095659,-1206517
2312,金寶,TSE,8621769,0
2317,鴻海,TSE,10136158,213516
2618,長榮航,TSE,13613595,-3476001
2610,華航,TSE,10116837,-2009396
2337,旺宏,TSE,7554550,-182000
1605,華新,TSE,6366660,17836
3711,日月光投控,TSE,5452644,382486
2332,友訊,TSE,5707195,0
3042,晶技,TSE,5167618,-138000
8422,可寧衛*,TSE,4737308,6000
1216,統一,TSE,6102784,-1567583
4938,和碩,TSE,4112901,188607
4904,遠傳,TSE,5037490,-621057
2006,東和鋼鐵,TSE,4442441,-232119
4763,材料*-KY,TSE,3939459,-1888
6226,光鼎,TSE,3724000,-2000
2027,大成鋼,TSE,8185739,-5243152
2313,華通,TSE,3962967,19000
2603,長榮,TSE,4139627,-496258
2327,國巨*,TSE,3675238,-42121
3706,神達,TSE,3393181,-8000
3035,智原,TSE,3172098,0
2359,所羅門,TSE,2973040,0
6116,彩晶,TSE,3113968,0
9904,寶成,TSE,3367770,-94905
2376,技嘉,TSE,4572182,-234186
2890,永豐金,TSE,2710853,-94858
6202,盛群,TSE,2953900,0
2812,台中銀,TSE,-1445158,3904676
5388,中磊,TSE,2749904,-2681
2867,三商壽,TSE,4023000,0
2615,萬海,TSE,2740690,-3645
6919,康霈*,TSE,2712679,0
6282,康舒,TSE,1898303,338000
6505,台塑化,TSE,3027997,24000
2388,威盛,TSE,2182622,0
3006,晶豪科,TSE,2188892,0
3037,欣興,TSE,1785144,763577
8112,至上,TSE,2458740,-4496
2883,凱基金,TSE,-8512896,10520086
8039,台虹,TSE,2356574,0
2426,鼎元,TSE,2060603,0
2371,大同,TSE,2522051,-527000
6206,飛捷,TSE,2040572,-4643
2352,佳世達,TSE,2117114,0
6209,今國光,TSE,1886450,0
2369,菱生,TSE,2044990,0
1717,長興,TSE,1417083,307265
4989,榮科,TSE,696406,0
9933,中鼎,TSE,1884927,2000
6166,凌華,TSE,1800350,0
3033,威健,TSE,1514998,310537
3702,大聯大,TSE,2877315,-1214060
2382,廣達,TSE,2009889,-234966
2605,新興,TSE,1657363,4000
