code,name,market,foreign_net,sitc_net
2884,玉山金,TSE,53198585,627848
3481,群創,TSE,59977392,-27059349
2886,兆豐金,TSE,15667186,1685467
2867,三商壽,TSE,24279000,0
2891,中信金,TSE,21940191,-7090767
2002,中鋼,TSE,22834174,14000
2324,仁寶,TSE,22238354,-1762153
2887,台新新光金,TSE,-9594495,19398790
2812,台中銀,TSE,17703124,2873993
2880,華南金,TSE,-1225451,11454399
2412,中華電,TSE,17038876,1020408
2892,第一金,TSE,7607939,9309611
2834,臺企銀,TSE,14738357,-138882
2883,凱基金,TSE,5800711,-296010
6505,台塑化,TSE,5813702,7917997
1216,統一,TSE,4248063,6315773
1402,遠東新,TSE,13671993,-22389
1102,亞泥,TSE,13589278,-1653571
5876,上海商銀,TSE,12019824,-2878000
2610,華航,TSE,5908640,6406550
3045,台灣大,TSE,14731552,-4947629
2801,彰銀,TSE,1442793,9759445
2105,正新,TSE,15438095,-4653106
2881,富邦金,TSE,6338170,2403691
5880,合庫金,TSE,8093071,406801
9904,寶成,TSE,13262801,-4140726
2603,長榮,TSE,9613680,-1083218
2890,永豐金,TSE,-9758663,8953778
1101,台泥,TSE,12409763,-3729000
2618,長榮航,TSE,16608429,-10375072
1714,和桐,TSE,7786000,115000
2332,友訊,TSE,7731837,0
2882,國泰金,TSE,8077522,-2638351
2845,遠東銀,TSE,6340477,-68000
2027,大成鋼,TSE,3945490,1186673
2489,瑞軒,TSE,5676176,0
2634,漢翔,TSE,6041455,280000
3576,聯合再生,TSE,5159578,0
9914,美利達,TSE,5204425,0
2609,陽明,TSE,4729653,-58819
2337,旺宏,TSE,4524621,201000
3042,晶技,TSE,4338261,93000
5871,中租-KY,TSE,641314,3271485
2481,強茂,TSE,4505229,0
7788,松川精密,TSE,3520843,0
2493,揚博,TSE,3379098,50000
2542,興富發,TSE,-3560317,6804000
2367,燿華,TSE,3455994,0
6116,彩晶,TSE,3173930,0
4904,遠傳,TSE,2736581,-1734980
4938,和碩,TSE,5559490,-4016000
3026,禾伸堂,TSE,3498262,-708500
2645,長榮航太,TSE,2907431,-358000
2382,廣達,TSE,4455424,-3327759
