股票代號,股票名稱,選出時收盤價,5日均量,MACD狀態,選出日期,風險提示
2880,華南金,40.15,25618,由綠翻紅,2026/07/19,正常
1402,遠東新,27.7,33643,由綠翻紅,2026/07/19,正常
4904,遠傳,103.0,15505,由綠翻紅,2026/07/19,過熱
6517,保勝光學,73.9,2152,由綠翻紅,2026/07/19,過熱
