股票代號,股票名稱,選出時收盤價,5日均量,MACD狀態,選出日期,風險提示
5871,中租-KY,114.0,5666,由綠翻紅,2026/08/13,正常
5328,華容,68.8,21418,由綠翻紅,2026/08/13,過熱
