code,name,market,foreign_net,sitc_net
5880,合庫金,TSE,42650495,703611
2618,長榮航,TSE,30788518,-18602
2884,玉山金,TSE,28515494,256365
2834,臺企銀,TSE,27497714,20467
2344,華邦電,TSE,36320840,-9683203
1216,統一,TSE,25435437,-358503
2867,三商壽,TSE,19092512,0
2892,第一金,TSE,14858671,500729
2886,兆豐金,TSE,10567419,3502863
2002,中鋼,TSE,13814222,59000
2887,台新新光金,TSE,10702247,-500268
2801,彰銀,TSE,8945413,-37693
5876,上海商銀,TSE,9201814,-13000
2845,遠東銀,TSE,9162830,3000
9904,寶成,TSE,8263208,-14438
2412,中華電,TSE,7429768,76038
2882,國泰金,TSE,3984802,2752377
2883,凱基金,TSE,4864009,-60947
4904,遠傳,TSE,6464012,-274725
2891,中信金,TSE,5404129,-1205219
2633,台灣高鐵,TSE,5648700,74000
3045,台灣大,TSE,5458950,55650
2889,國票金,TSE,5630841,3000
2812,台中銀,TSE,5685679,-20722
1102,亞泥,TSE,4695879,22555
2890,永豐金,TSE,3002446,1291161
2881,富邦金,TSE,3371624,894287
9945,潤泰新,TSE,4156689,-4000
1402,遠東新,TSE,2747404,4772
2609,陽明,TSE,3709681,-29946
2885,元大金,TSE,1272768,1180624
2912,統一超,TSE,3809526,-83742
2486,一詮,TSE,3327675,225000
2880,華南金,TSE,-1590017,2422000
5871,中租-KY,TSE,2981412,-155135
2542,興富發,TSE,2570648,-13000
6443,元晶,TSE,2405176,0
9907,統一實,TSE,2451056,9000
2426,鼎元,TSE,2370619,0
4763,材料*-KY,TSE,2225772,-108282
8261,富鼎,TSE,2281090,2000
4919,新唐,TSE,2164437,-89
2897,王道銀行,TSE,2125418,0
2385,群光,TSE,2010060,1472
1101,台泥,TSE,1574900,20000
1802,台玻,TSE,2284765,-89000
2606,裕民,TSE,1884249,1000
6531,愛普*,TSE,2335064,-426716
3450,聯鈞,TSE,1924307,1000
2484,希華,TSE,1649033,3000
6919,康霈*,TSE,1625111,0
2903,遠百,TSE,1605365,8000
2540,愛山林,TSE,1186285,0
2603,長榮,TSE,1340820,69006
8021,尖點,TSE,1539166,33000
2646,星宇航空,TSE,1480883,9000
6176,瑞儀,TSE,1406193,0
2836,高雄銀,TSE,1589402,0
2547,日勝生,TSE,1521323,0
3703,欣陸,TSE,1430587,3000
3702,大聯大,TSE,1257505,32000
2511,太子,TSE,1207629,0
2206,三陽工業,TSE,1262907,5000
1907,永豐餘,TSE,1236697,27080
8110,華東,TSE,1363374,0
6120,達運,TSE,1310942,0
2610,華航,TSE,991286,12409
2006,東和鋼鐵,TSE,1193220,16200
2305,全友,TSE,1220194,2000
3005,神基,TSE,1003906,3000
2820,華票,TSE,1166034,0
2442,新美齊,TSE,1074089,0
1477,聚陽,TSE,1072200,1000
1227,佳格,TSE,1087615,4000
1476,儒鴻,TSE,990415,3944
2354,鴻準,TSE,958138,8000
2727,王品,TSE,998000,1000
2105,正新,TSE,766436,15903
6451,訊芯-KY,TSE,1076539,0
1722,台肥,TSE,946891,10000
3037,欣興,TSE,-1656603,2515389
9939,宏全,TSE,943974,2000
2913,農林,TSE,974197,0
3042,晶技,TSE,1196226,-113000
2915,潤泰全,TSE,858321,0
1909,榮成,TSE,829000,0
4915,致伸,TSE,813962,0
1218,泰山,TSE,769000,0
2451,創見,TSE,811992,-25000
3056,富華新,TSE,753050,0
4583,台灣精銳,TSE,737081,0
1808,潤隆,TSE,658848,0
2023,燁輝,TSE,856589,12000
2101,南港,TSE,656920,0
2367,燿華,TSE,808075,0
2371,大同,TSE,608065,0
4764,雙鍵,TSE,158530,500000
2449,京元電子,TSE,-2857390,3525028
2537,聯上發,TSE,634707,0
2201,裕隆,TSE,581412,6000
2905,三商,TSE,614000,0
1104,環泥,TSE,627157,0
2478,大毅,TSE,633511,3000
6834,天二科技,TSE,617407,1000
1712,興農,TSE,601254,3000
2014,中鴻,TSE,589950,0
6414,樺漢,TSE,551110,0
2207,和泰車,TSE,570302,1816
2504,國產,TSE,508838,11000
4977,眾達-KY,TSE,536252,0
2204,中華,TSE,503300,3000
6830,汎銓,TSE,534307,0
2457,飛宏,TSE,569300,0
9925,新保,TSE,534000,0
2408,南亞科,TSE,-667339,973955
1604,聲寶,TSE,472695,0
1210,大成,TSE,481408,6000
2015,豐興,TSE,477446,0
3034,聯詠,TSE,302052,-36805
4956,光鋐,TSE,425780,0
3645,達邁,TSE,454039,0
2461,光群雷,TSE,440615,0
2351,順德,TSE,812810,-354000
3535,晶彩科,TSE,428050,0
1904,正隆,TSE,408854,8000
2851,中再保,TSE,424712,0
2485,兆赫,TSE,394374,0
2838,聯邦銀,TSE,415124,24000
3167,大量,TSE,680000,-375000
2211,長榮鋼,TSE,405546,4000
6257,矽格,TSE,395213,-6461
3029,零壹,TSE,393243,-1000
2347,聯強,TSE,230719,63000
2707,晶華,TSE,347890,0
6214,精誠,TSE,348723,5802
2615,萬海,TSE,343891,64255
2302,麗正,TSE,364763,2000
1709,和益,TSE,455378,0
3209,全科,TSE,361662,0
3231,緯創,TSE,-18970,419801
6757,台灣虎航,TSE,311249,0
1464,得力,TSE,309572,0
6202,盛群,TSE,340712,0
6278,台表科,TSE,690949,-359000
7769,鴻勁,TSE,300,297293
2395,研華,TSE,287277,19000
3532,台勝科,TSE,1925809,-1495000
2534,宏盛,TSE,295510,0
1702,南僑,TSE,308174,0
2753,八方雲集,TSE,298129,0
3013,晟銘電,TSE,370850,1000
9924,福興,TSE,298000,0
6472,保瑞,TSE,276173,1000
6116,彩晶,TSE,173434,0
4722,國精化,TSE,285264,1000
6024,群益期,TSE,270614,0
2852,第一保,TSE,268000,0
2501,國建,TSE,240994,1000
8033,雷虎,TSE,254737,3000
2441,超豐,TSE,350248,-5000
1463,強盛新,TSE,254000,0
5434,崇越,TSE,265009,-23532
8028,昇陽半導體,TSE,688939,-492000
6592,和潤企業,TSE,233943,0
4968,立積,TSE,236246,0
2536,宏普,TSE,217029,0
2543,皇昌,TSE,185674,2000
3016,嘉晶,TSE,246170,0
1108,幸福,TSE,236000,0
4164,承業醫,TSE,221000,0
1434,福懋,TSE,210766,6000
4306,炎洲,TSE,171831,0
3716,中化控股,TSE,217000,0
2029,盛餘,TSE,207000,0
2530,華建,TSE,227055,0
2349,錸德,TSE,223265,0
1307,三芳,TSE,227000,0
1201,味全,TSE,186410,0
5608,四維航,TSE,200780,0
1229,聯華,TSE,188731,17000
2731,雄獅,TSE,208000,4597
3701,大眾控,TSE,197000,0
6272,驊陞,TSE,200000,0
