股票代號,股票名稱,選出時收盤價,5日均量,MACD狀態,選出日期,風險提示
3045,台灣大,112.0,17987,由綠翻紅,2026/07/21,正常
3706,神達,91.3,11222,由綠翻紅,2026/07/21,正常
8050,廣積,60.5,2263,由綠翻紅,2026/07/21,正常
2609,陽明,50.9,18381,由綠翻紅,2026/07/21,正常
2886,兆豐金,48.6,38567,由綠翻紅,2026/07/21,正常
5880,合庫金,25.7,22999,由綠翻紅,2026/07/21,正常
2903,遠百,22.6,2243,由綠翻紅,2026/07/21,正常
2646,星宇航空,22.0,6708,由綠翻紅,2026/07/21,正常
2395,研華,567.0,2944,由綠翻紅,2026/07/21,過熱
2630,亞航,58.9,12880,由綠翻紅,2026/07/21,過熱
