code,name,market,foreign_net,sitc_net
2883,凱基金,TSE,37650846,1284154
2027,大成鋼,TSE,23949074,4112319
2002,中鋼,TSE,22821566,-14000
3231,緯創,TSE,24210608,-1777214
2885,元大金,TSE,25000620,-787108
1326,台化,TSE,21829435,13000
2317,鴻海,TSE,17679862,660951
8112,至上,TSE,15324342,-209485
2377,微星,TSE,10420802,691375
2408,南亞科,TSE,7791513,2313163
2337,旺宏,TSE,10370270,-6000
1301,台塑,TSE,10118099,330000
2618,長榮航,TSE,11958089,-3150027
3576,聯合再生,TSE,7621744,0
1810,和成,TSE,7155430,0
2324,仁寶,TSE,7039598,22616
4938,和碩,TSE,9484702,-2325638
2301,光寶科,TSE,6721493,22081
2882,國泰金,TSE,9647963,-2762337
2603,長榮,TSE,6917525,-1035334
2881,富邦金,TSE,5784354,124645
3605,宏致,TSE,4706391,0
2353,宏碁,TSE,8454277,-3773090
2615,萬海,TSE,4683852,12448
4763,材料*-KY,TSE,4537499,-6000
2801,彰銀,TSE,-4741484,9570182
3006,晶豪科,TSE,4282745,-81000
2332,友訊,TSE,2948913,0
2449,京元電子,TSE,2322802,900820
1312,國喬,TSE,3835183,0
2356,英業達,TSE,12149193,-8270863
3037,欣興,TSE,2704243,405033
2347,聯強,TSE,5048288,-1913344
2388,威盛,TSE,3040193,-164000
2609,陽明,TSE,3340616,-94526
2401,凌陽,TSE,2756029,0
2412,中華電,TSE,2781745,-170728
1710,東聯,TSE,2706132,0
2890,永豐金,TSE,-3056183,6462233
6239,力成,TSE,1769116,907204
4904,遠傳,TSE,5444393,-3372846
5871,中租-KY,TSE,-412734,2926146
2812,台中銀,TSE,2606093,-21527
2834,臺企銀,TSE,2692930,-31465
9945,潤泰新,TSE,2422592,-5000
5876,上海商銀,TSE,4421557,-1787000
3706,神達,TSE,1092900,1400000
3034,聯詠,TSE,2812614,-672002
1605,華新,TSE,2234111,-6683
3711,日月光投控,TSE,1119419,1468018
8033,雷虎,TSE,2206583,77000
3045,台灣大,TSE,4271576,-2035023
6456,GIS-KY,TSE,1969411,0
2357,華碩,TSE,2663816,-614145
2606,裕民,TSE,2670860,-689000
1304,台聚,TSE,1498633,0
8131,福懋科,TSE,1842197,0
3022,威強電,TSE,1808451,-2608
2369,菱生,TSE,1761511,0
5388,中磊,TSE,1709873,-2670
2425,承啟,TSE,1737354,39000
1402,遠東新,TSE,866663,-125523
1504,東元,TSE,2350637,-733336
2323,中環,TSE,1611402,0
3033,威健,TSE,1651000,-23218
2884,玉山金,TSE,2035877,-233294
2637,慧洋-KY,TSE,1000655,477866
1303,南亞,TSE,-1724049,3266388
3413,京鼎,TSE,1158226,0
6176,瑞儀,TSE,1262705,3531
2892,第一金,TSE,-7109913,8602944
2406,國碩,TSE,1243000,0
6505,台塑化,TSE,4288742,-1628841
2354,鴻準,TSE,1206400,0
1313,聯成,TSE,1174000,0
1102,亞泥,TSE,1566337,191207
2486,一詮,TSE,897754,0
2605,新興,TSE,849579,0
1536,和大,TSE,879666,0
3035,智原,TSE,859678,-1000
2206,三陽工業,TSE,989169,7000
3532,台勝科,TSE,-83858,1058000
2385,群光,TSE,2334346,-1041997
3714,富采,TSE,958809,0
3005,神基,TSE,1148840,-9686
2371,大同,TSE,987318,12000
2006,東和鋼鐵,TSE,916089,-4044
1309,台達化,TSE,889000,0
2014,中鴻,TSE,916000,0
9934,成霖,TSE,901400,0
2365,昆盈,TSE,811610,0
2465,麗臺,TSE,791577,0
2367,燿華,TSE,630183,0
4958,臻鼎-KY,TSE,-2170498,2966441
2458,義隆,TSE,774486,1804
9919,康那香,TSE,781000,0
6414,樺漢,TSE,751427,-4000
4916,事欣科,TSE,766997,0
2405,輔信,TSE,717749,0
2049,上銀,TSE,593372,1913
2340,台亞,TSE,597039,0
2515,中工,TSE,696000,0
2308,台達電,TSE,-9329,763093
2104,國際中橡,TSE,704000,0
1618,合機,TSE,525000,0
8114,振樺電,TSE,509315,117000
6177,達麗,TSE,563147,0
6166,凌華,TSE,620556,0
9933,中鼎,TSE,741296,-3300
1795,美時,TSE,608000,2000
2520,冠德,TSE,439844,0
3056,富華新,TSE,615480,0
2302,麗正,TSE,546170,46000
2009,第一銅,TSE,497736,0
6285,啟碁,TSE,210499,247000
4566,時碩工業,TSE,567333,0
1308,亞聚,TSE,577004,0
3704,合勤控,TSE,586128,0
1560,中砂,TSE,265995,278000
2913,農林,TSE,577562,0
1316,上曜,TSE,542000,0
2498,宏達電,TSE,531025,0
2363,矽統,TSE,517830,0
6142,友勁,TSE,542021,0
8271,宇瞻,TSE,528584,-32000
1305,華夏,TSE,547000,0
3592,瑞鼎,TSE,550000,-65800
9914,美利達,TSE,495240,5000
2617,台航,TSE,484816,0
6257,矽格,TSE,676897,-198866
1723,中碳,TSE,473000,-1000
2031,新光鋼,TSE,468584,-15610
3090,日電貿,TSE,518000,29000
4770,上品,TSE,407000,0
2454,聯發科,TSE,554762,160750
6416,瑞祺電通,TSE,434114,0
8110,華東,TSE,410810,0
2397,友通,TSE,418020,0
3019,亞光,TSE,343374,0
6206,飛捷,TSE,563362,-11330
2528,皇普,TSE,415550,0
6531,愛普*,TSE,104633,235071
6669,緯穎,TSE,188719,116044
