code,name,market,foreign_net,sitc_net
2618,長榮航,TSE,58019569,-2892598
2891,中信金,TSE,41021324,70905
4958,臻鼎-KY,TSE,21044750,4007276
2610,華航,TSE,21428258,372124
2332,友訊,TSE,22426474,0
2634,漢翔,TSE,15428471,0
5876,上海商銀,TSE,12298208,-8000
2886,兆豐金,TSE,3231086,8661067
2313,華通,TSE,7840358,3350000
6505,台塑化,TSE,8886683,889148
5880,合庫金,TSE,10121230,196811
3045,台灣大,TSE,9723733,559758
1301,台塑,TSE,8131428,0
2347,聯強,TSE,11472068,6000
3033,威健,TSE,7606000,0
4904,遠傳,TSE,940807,6108987
2377,微星,TSE,6337460,6000
1709,和益,TSE,6524231,0
3704,合勤控,TSE,6467350,0
2359,所羅門,TSE,6054177,0
1216,統一,TSE,5321896,117556
3576,聯合再生,TSE,5615405,0
2301,光寶科,TSE,5608280,-296341
2845,遠東銀,TSE,5341766,0
1326,台化,TSE,4752503,6000
2883,凱基金,TSE,4051332,115952
2890,永豐金,TSE,4802758,-35429
2880,華南金,TSE,2500543,1761221
2105,正新,TSE,4694066,-191539
2371,大同,TSE,4584575,10000
3016,嘉晶,TSE,4477362,0
1303,南亞,TSE,-6699972,9372000
2892,第一金,TSE,3513153,220346
2882,國泰金,TSE,5057316,-1846792
2603,長榮,TSE,4445246,-1057451
2312,金寶,TSE,3125821,0
2357,華碩,TSE,3170105,-110605
2351,順德,TSE,1952750,802000
2867,三商壽,TSE,2400065,0
2382,廣達,TSE,479422,2054130
2881,富邦金,TSE,3928112,-1440992
2637,慧洋-KY,TSE,1679329,757000
2884,玉山金,TSE,1059700,520237
2208,台船,TSE,2175437,0
1718,中纖,TSE,2190000,0
2836,高雄銀,TSE,2158093,0
9921,巨大,TSE,1978027,0
2606,裕民,TSE,2130724,-65000
8112,至上,TSE,2002042,-2000
2812,台中銀,TSE,1734300,-11148
2478,大毅,TSE,1832946,5000
4564,元翎,TSE,1799102,0
3034,聯詠,TSE,2383371,237103
2489,瑞軒,TSE,1505812,0
1434,福懋,TSE,1434450,0
2302,麗正,TSE,1408507,0
2527,宏璟,TSE,1400450,0
9939,宏全,TSE,1413509,2000
3019,亞光,TSE,1172021,0
6116,彩晶,TSE,1402160,0
6443,元晶,TSE,1321690,0
2375,凱美,TSE,1351543,0
9907,統一實,TSE,1590900,-320000
2367,燿華,TSE,1145945,0
5388,中磊,TSE,1234065,0
2485,兆赫,TSE,1015191,0
8261,富鼎,TSE,1062350,0
6919,康霈*,TSE,1105145,0
5871,中租-KY,TSE,833420,95000
8046,南電,TSE,-3481879,4778588
2031,新光鋼,TSE,989511,80000
3149,正達,TSE,1063311,0
4938,和碩,TSE,1328399,-471000
2023,燁輝,TSE,1012832,0
2646,星宇航空,TSE,1055635,12000
3702,大聯大,TSE,1174672,-6000
2492,華新科,TSE,81670,111000
1810,和成,TSE,719480,0
2912,統一超,TSE,856967,4088
2425,承啟,TSE,-385000,0
4916,事欣科,TSE,688000,0
2605,新興,TSE,875100,0
1313,聯成,TSE,874374,0
3042,晶技,TSE,1313935,0
3059,華晶科,TSE,877886,0
3605,宏致,TSE,823205,0
3189,景碩,TSE,202435,426000
2006,東和鋼鐵,TSE,405585,371000
2458,義隆,TSE,-395607,1303000
1609,大亞,TSE,668117,0
2467,志聖,TSE,715890,0
2493,揚博,TSE,789538,8000
2427,三商電,TSE,679000,0
2101,南港,TSE,684700,0
1218,泰山,TSE,677030,0
1536,和大,TSE,549110,0
6753,龍德造船,TSE,149154,0
4551,智伸科,TSE,710241,-45000
6271,同欣電,TSE,810465,0
6177,達麗,TSE,642000,0
2368,金像電,TSE,1177877,-497828
3550,聯穎,TSE,590050,0
4739,康普,TSE,629700,0
2543,皇昌,TSE,556842,0
9934,成霖,TSE,566970,0
6155,鈞寶,TSE,554193,0
2374,佳能,TSE,445678,0
9938,百和,TSE,551430,0
1723,中碳,TSE,528544,0
6442,光聖,TSE,553724,16000
1476,儒鴻,TSE,503056,-25035
2376,技嘉,TSE,624000,-51607
5269,祥碩,TSE,319104,190000
6719,力智,TSE,611007,0
3645,達邁,TSE,530229,0
6525,捷敏-KY,TSE,501122,0
1477,聚陽,TSE,406397,69000
1215,卜蜂,TSE,479000,0
2355,敬鵬,TSE,631522,0
2455,全新,TSE,612953,-18000
6214,精誠,TSE,442493,0
2889,國票金,TSE,377014,0
4919,新唐,TSE,199587,21000
4977,眾達-KY,TSE,411516,0
2539,櫻花建,TSE,398660,0
2354,鴻準,TSE,462110,-2000
2331,精英,TSE,452150,-120000
3535,晶彩科,TSE,392018,0
1466,聚隆,TSE,349060,0
2103,台橡,TSE,367001,0
2015,豐興,TSE,358370,0
4967,十銓,TSE,290099,120000
6414,樺漢,TSE,468464,-1000
1808,潤隆,TSE,360651,0
2104,國際中橡,TSE,332420,0
3305,昇貿,TSE,446082,0
4566,時碩工業,TSE,330895,0
2328,廣宇,TSE,367128,0
2342,茂矽,TSE,317700,0
1304,台聚,TSE,279018,0
1307,三芳,TSE,350000,0
3029,零壹,TSE,315400,0
6789,采鈺,TSE,225439,1000
6226,光鼎,TSE,203000,0
2308,台達電,TSE,261458,7125
1232,大統益,TSE,300056,0
3701,大眾控,TSE,288976,0
5522,遠雄,TSE,213814,74000
6165,浪凡,TSE,284000,0
5243,乙盛-KY,TSE,260413,0
6205,詮欣,TSE,277408,0
3596,智易,TSE,265932,2000
2885,元大金,TSE,327657,-200233
6944,兆聯實業,TSE,275725,0
6164,華興,TSE,255052,0
1809,中釉,TSE,262021,0
3167,大量,TSE,119676,127000
8454,富邦媒,TSE,251335,20238
3443,創意,TSE,369298,-167563
2049,上銀,TSE,267055,-35129
6830,汎銓,TSE,235807,0
5258,虹堡,TSE,229000,0
4590,富田-創,TSE,226995,0
2511,太子,TSE,280558,0
6873,泓德能源,TSE,184914,0
1337,再生-KY,TSE,240000,0
2482,連宇,TSE,219034,0
6526,達發,TSE,142993,55000
2465,麗臺,TSE,241377,0
6491,晶碩,TSE,231350,0
1513,中興電,TSE,265004,-59106
9925,新保,TSE,167087,0
3022,威強電,TSE,226234,0
3312,弘憶股,TSE,196996,0
3653,健策,TSE,198066,-5761
1590,亞德客-KY,TSE,203615,0
4956,光鋐,TSE,197819,0
8222,寶一,TSE,199000,0
1527,鑽全,TSE,107000,0
1522,堤維西,TSE,188000,0
2491,吉祥全,TSE,193000,0
4934,太極,TSE,193000,0
9941,裕融,TSE,188030,0
2107,厚生,TSE,184729,0
2480,敦陽科,TSE,182825,0
2385,群光,TSE,224695,-83795
3591,艾笛森,TSE,204001,0
1515,力山,TSE,136400,0
5471,松翰,TSE,-4511,0
2365,昆盈,TSE,152866,0
6890,來億-KY,TSE,107927,91000
1460,宏遠,TSE,150000,0
4536,拓凱,TSE,176000,0
2852,第一保,TSE,181000,0
3416,融程電,TSE,170000,0
6533,晶心科,TSE,-18000,0
2520,冠德,TSE,144633,0
6592,和潤企業,TSE,150750,0
6196,帆宣,TSE,588387,-438000
2348,海悅,TSE,150701,0
8464,億豐,TSE,88856,59508
1305,華夏,TSE,164521,0
2201,裕隆,TSE,129000,0
3013,晟銘電,TSE,231057,0
1217,愛之味,TSE,120000,0
5515,建國,TSE,208000,-40000
4104,佳醫,TSE,154105,0
1227,佳格,TSE,157380,0
3356,奇偶,TSE,159077,0
2442,新美齊,TSE,172000,0
4106,雃博,TSE,86000,0
6415,矽力*-KY,TSE,202045,9000
3005,神基,TSE,-104349,39000
8114,振樺電,TSE,142004,0
1442,名軒,TSE,140390,0
1440,南紡,TSE,84000,0
6861,睿生光電,TSE,129036,0
2392,正崴,TSE,156888,0
2476,鉅祥,TSE,232630,0
2206,三陽工業,TSE,-75959,202000
7788,松川精密,TSE,80096,0
3048,益登,TSE,196878,0
8021,尖點,TSE,42000,0
9914,美利達,TSE,112321,3000
6133,金橋,TSE,126844,0
1201,味全,TSE,129213,0
2233,宇隆,TSE,145572,0
2397,友通,TSE,131481,0
2540,愛山林,TSE,106248,0
2404,漢唐,TSE,202769,-59000
2106,建大,TSE,103030,0
2434,統懋,TSE,119000,0
3008,大立光,TSE,13322,7000
9802,鈺齊-KY,TSE,107170,0
8210,勤誠,TSE,480772,-352000
1342,八貫,TSE,114023,0
6192,巨路,TSE,113000,0
1308,亞聚,TSE,133882,0
1234,黑松,TSE,125000,0
6579,研揚,TSE,94000,0
2607,榮運,TSE,90205,0
4927,泰鼎-KY,TSE,94371,0
6933,AMAX-KY,TSE,-10200,0
8462,柏文,TSE,107303,0
2528,皇普,TSE,98000,0
2851,中再保,TSE,-60052,200000
6909,創控,TSE,99009,0
3257,虹冠電,TSE,98000,0
6531,愛普*,TSE,170552,-72000
2468,華經,TSE,83050,0
3021,鴻名,TSE,91070,0
2816,旺旺保,TSE,96000,0
3014,聯陽,TSE,87615,229000
6790,永豐實,TSE,98000,0
7786,東方風能,TSE,85000,0
2231,為升,TSE,87000,0
2488,漢平,TSE,100000,0
6472,保瑞,TSE,133480,0
9935,慶豐富,TSE,86834,0
1604,聲寶,TSE,112598,0
8033,雷虎,TSE,52309,0
1720,生達,TSE,83000,0
2611,志信,TSE,78800,0
6558,興能高,TSE,79000,0
3413,京鼎,TSE,80300,0
3052,夆典,TSE,77000,0
3040,遠見,TSE,78006,0
2029,盛餘,TSE,72000,0
1309,台達化,TSE,62350,0
1702,南僑,TSE,88000,0
1568,倉佑,TSE,75895,0
6625,必應,TSE,78990,0
9942,茂順,TSE,77398,0
6863,永道-KY,TSE,-1000,0
3043,科風,TSE,75000,0
6598,ABC-KY,TSE,73000,0
8131,福懋科,TSE,-135487,0
1528,恩德,TSE,60080,0
8478,東哥遊艇,TSE,68229,0
5306,桂盟,TSE,79000,0
5608,四維航,TSE,65598,0
6928,攸泰科技,TSE,65000,0
4755,三福化,TSE,64204,0
2597,潤弘,TSE,54075,0
2453,凌群,TSE,63000,0
2630,亞航,TSE,-230571,0
3002,歐格,TSE,50000,0
4155,訊映,TSE,68050,0
1623,大東電,TSE,23995,0
6854,錼創科技-KY創,TSE,58000,0
2832,台產,TSE,65910,0
6606,建德工業,TSE,57000,0
1455,集盛,TSE,50100,0
1617,榮星,TSE,51000,0
2537,聯上發,TSE,79000,0
4906,正文,TSE,153088,0
6585,鼎基,TSE,56302,0
8249,菱光,TSE,43101,0
2612,中航,TSE,61346,0
8473,山林水,TSE,50311,0
3450,聯鈞,TSE,27210,0
5434,崇越,TSE,-785572,769000
2923,鼎固-KY,TSE,60000,0
1733,五鼎,TSE,50180,0
7740,熙特爾-創,TSE,50000,0
3026,禾伸堂,TSE,-438899,511000
2020,美亞,TSE,43000,0
4555,氣立,TSE,49009,0
1734,杏輝,TSE,48552,0
7769,鴻勁,TSE,-113013,153556
2908,特力,TSE,28000,0
9930,中聯資源,TSE,35000,0
8341,日友,TSE,47658,0
2534,宏盛,TSE,41000,0
2034,允強,TSE,44000,0
2459,敦吉,TSE,42000,0
2705,六福,TSE,37000,0
1730,花仙子,TSE,39000,0
4912,聯德控股-KY,TSE,43045,0
6885,全福生技,TSE,10000,0
2420,新巨,TSE,47999,0
2707,晶華,TSE,43083,0
1451,年興,TSE,34000,0
2207,和泰車,TSE,19147,3166
6691,洋基工程,TSE,21180,1000
8045,達運光電,TSE,34000,0
1517,利奇,TSE,30000,0
6438,迅得,TSE,32445,0
2364,倫飛,TSE,32040,0
5285,界霖,TSE,32010,0
1587,吉茂,TSE,33000,0
6136,富爾特,TSE,29000,0
5525,順天,TSE,36000,0
2115,六暉-KY,TSE,40000,0
1220,台榮,TSE,28000,0
1325,恆大,TSE,30000,0
9940,信義,TSE,20685,0
6923,中台,TSE,30049,0
6914,阜爾運通,TSE,31048,0
7791,皇家可口,TSE,32000,0
9927,泰銘,TSE,35150,0
3705,永信,TSE,32120,0
3607,谷崧,TSE,30101,0
3557,嘉威,TSE,35000,0
1464,得力,TSE,26781,0
1582,信錦,TSE,49000,0
1467,南緯,TSE,26000,0
2748,雲品,TSE,26000,0
6689,伊雲谷,TSE,28000,0
3004,豐達科,TSE,-68766,0
6235,華孚,TSE,24119,0
3296,勝德,TSE,26000,0
9924,福興,TSE,27000,0
1310,台苯,TSE,13208,0
4414,如興,TSE,22000,0
1598,岱宇,TSE,22000,0
5706,鳳凰,TSE,23000,0
4588,玖鼎電力,TSE,25000,0
6464,台數科,TSE,24155,0
2704,國賓,TSE,22100,0
3056,富華新,TSE,8000,0
6669,緯穎,TSE,9805,45317
3138,耀登,TSE,23049,0
7631,聚賢研發-創,TSE,21109,0
2108,南帝,TSE,18954,0
6776,展碁國際,TSE,21000,0
4438,廣越,TSE,17000,0
1903,士紙,TSE,22010,0
3515,華擎,TSE,13000,0
6189,豐藝,TSE,16363,0
6277,宏正,TSE,14000,0
5288,豐祥-KY,TSE,17301,0
6757,台灣虎航,TSE,-73049,0
4119,旭富,TSE,15050,0
1519,華城,TSE,28455,0
3311,閎暉,TSE,24020,0
9937,全國,TSE,15000,0
2102,泰豐,TSE,14219,0
2497,怡利電,TSE,16346,0
5607,遠雄港,TSE,31030,0
6668,中揚光,TSE,13000,0
1906,寶隆,TSE,16000,0
2460,建通,TSE,15000,0
6957,裕慶-KY,TSE,15000,0
2114,鑫永銓,TSE,14780,0
2059,川湖,TSE,33351,-27237
1526,日馳,TSE,14000,0
6887,寶綠特-KY,TSE,0,0
4736,泰博,TSE,12569,0
4737,華廣,TSE,-7000,0
7827,漢康-KY創,TSE,5000,0
4572,駐龍,TSE,13973,0
4439,冠星-KY,TSE,14900,0
4583,台灣精銳,TSE,12856,0
3533,嘉澤,TSE,94439,-64000
6166,凌華,TSE,3394,0
