股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3026,禾伸堂,TSE,691.0,629.0,584.98,1124,187,"(+2787, +913, +1124)","(+85, +322, +187)",14828,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
3090,日電貿,TSE,175.0,166.3,157.05,517,62,"(+1197, +312, +517)","(+18, +11, +62)",18815,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
6603,富強鑫,OTC,28.85,27.26,25.72,389,10,"(+117, +52, +389)","(+8, +2, +10)",3393,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
3624,光頡,OTC,95.1,84.76,79.21,353,58,"(+1160, +559, +353)","(+33, +25, +58)",6343,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
8299,群聯,OTC,2280.0,2128.0,1862.25,284,1,"(+27, +138, +284)","(+2, +15, +1)",5348,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
6155,鈞寶,TSE,63.5,56.72,55.43,236,85,"(+11, +63, +236)","(+13, +17, +85)",3105,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
8996,高力,TSE,1285.0,1128.0,1015.1,194,33,"(+114, +329, +194)","(+9, +31, +33)",2881,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
2344,華邦電,TSE,177.0,175.0,157.28,6228,137,"(-15742, +10807, +6228)","(-261, -247, +137)",190416,【主力點火資】,False,True,False
2303,聯電,TSE,124.5,121.9,123.83,5938,213,"(-2112, -3445, +5938)","(+378, +682, +213)",142272,【主力點火資】,False,True,False
1709,和益,TSE,30.65,28.23,26.25,5135,14,"(+756, +386, +5135)","(-2, +1, +14)",8781,【主力點火資】,False,True,False
2359,所羅門,TSE,157.0,147.5,139.57,3558,1,"(-1600, -743, +3558)","(-32, +75, +1)",10205,【主力點火資】,False,True,False
2481,強茂,TSE,143.0,138.8,135.05,2865,0,"(-292, +243, +2865)","(+9, -46, +0)",20834,【主力點火資】,False,True,False
6173,信昌電,OTC,223.5,187.7,171.9,2384,900,"(+981, -302, +2384)","(+66, +283, +900)",18325,【主力點火資】,False,True,False
2478,大毅,TSE,130.0,123.1,124.17,1960,-13,"(+1508, -892, +1960)","(-14, +22, -13)",12304,【主力點火資】,False,True,False
8046,南電,TSE,1215.0,1168.0,1089.0,1689,-87,"(+237, -72, +1689)","(-4, +246, -87)",8186,【主力點火資】,False,True,False
5483,中美晶,OTC,187.5,175.8,188.83,1681,-53,"(-3, +342, +1681)","(-75, +35, -53)",31444,【主力點火資】,False,True,True
2449,京元電子,TSE,253.5,249.8,248.14,1280,-20,"(+60, -854, +1280)","(-53, +25, -20)",22890,【主力點火資】,False,True,False
8358,金居,OTC,421.0,383.6,362.25,1070,-219,"(-2687, +186, +1070)","(+344, +115, -219)",30786,【主力點火資】,False,True,False
8261,富鼎,TSE,202.0,184.2,198.8,883,24,"(-319, -176, +883)","(-2, -1, +24)",6982,【主力點火資】,False,True,False
2323,中環,TSE,10.3,10.26,10.2,777,-3,"(+170, +126, +777)","(-1, -22, -3)",4433,【主力點火資】,False,True,False
3406,玉晶光,TSE,629.0,567.4,520.98,749,27,"(-82, +232, +749)","(+0, +29, +27)",3179,【主力點火資】,False,True,False
4958,臻鼎-KY,TSE,477.5,476.5,468.27,700,23,"(-294, +1378, +700)","(+68, -160, +23)",38460,【主力點火資】,False,True,False
4763,材料*-KY,TSE,51.6,51.14,49.36,642,2,"(-1112, -554, +642)","(+23, +3, +2)",12962,【主力點火資】,False,True,False
1301,台塑,TSE,57.5,56.14,58.2,616,91,"(-130, -817, +616)","(+1, +21, +91)",20695,【主力點火資】,False,True,True
6147,頎邦,OTC,164.5,156.6,154.03,614,-99,"(+361, -95, +614)","(+124, -4, -99)",25573,【主力點火資】,False,True,False
4533,協易機,OTC,28.2,26.36,25.33,539,4,"(+263, -27, +539)","(-2, +0, +4)",1609,【主力點火資】,False,True,False
2426,鼎元,TSE,68.6,67.52,59.59,535,4,"(+277, -529, +535)","(-76, -68, +4)",18073,【主力點火資】,False,True,False
