code,name,market,foreign_net,sitc_net
2610,華航,TSE,52784372,664000
3481,群創,TSE,42096430,174000
2409,友達,TSE,39607620,102000
2618,長榮航,TSE,34341534,727000
1101,台泥,TSE,17795221,12000
2412,中華電,TSE,9689548,63700
2891,中信金,TSE,966580,1623244
2884,玉山金,TSE,2149936,730788
6116,彩晶,TSE,7971482,0
2002,中鋼,TSE,7059431,18000
3045,台灣大,TSE,5641691,480259
3231,緯創,TSE,1838944,4658554
5871,中租-KY,TSE,5122722,1082000
6505,台塑化,TSE,6353120,137210
2313,華通,TSE,7221991,-763000
2886,兆豐金,TSE,-1455042,2687167
5880,合庫金,TSE,2354899,500920
2646,星宇航空,TSE,5311400,1000
2812,台中銀,TSE,5088817,17000
4904,遠傳,TSE,4086530,144325
2845,遠東銀,TSE,3319000,1556000
5876,上海商銀,TSE,7220018,24000
1216,統一,TSE,780594,1764906
4958,臻鼎-KY,TSE,6886010,-2678860
2382,廣達,TSE,2487994,1397485
1303,南亞,TSE,1198653,111903
1402,遠東新,TSE,2833230,350000
2705,六福,TSE,3160000,0
2867,三商壽,TSE,3056000,0
3042,晶技,TSE,3157893,0
4919,新唐,TSE,2687830,8000
2609,陽明,TSE,2571089,1000
2356,英業達,TSE,2465435,59000
9912,偉聯,TSE,2156900,0
1409,新纖,TSE,2320866,-7000
1714,和桐,TSE,2040686,0
2489,瑞軒,TSE,3967389,-1809000
1102,亞泥,TSE,1601578,10000
8046,南電,TSE,2813137,-1170961
2603,長榮,TSE,1448739,77199
6443,元晶,TSE,1938500,0
9945,潤泰新,TSE,1897222,0
2351,順德,TSE,2115809,-250000
9907,統一實,TSE,1624100,-32351
1709,和益,TSE,1678267,0
2890,永豐金,TSE,-4410111,2887402
2615,萬海,TSE,1863065,0
2481,強茂,TSE,3751761,-1806000
6919,康霈*,TSE,1687900,0
1227,佳格,TSE,1635065,1000
2633,台灣高鐵,TSE,1435724,-3000
1711,永光,TSE,1689428,0
4989,榮科,TSE,1504145,0
2547,日勝生,TSE,1459138,-25932
3715,定穎投控,TSE,1508000,0
6213,聯茂,TSE,2447624,-898000
2493,揚博,TSE,1406888,0
2367,燿華,TSE,1558366,0
2605,新興,TSE,1527173,1000
2375,凱美,TSE,1231388,0
6757,台灣虎航,TSE,1162492,0
1515,力山,TSE,1152304,0
2332,友訊,TSE,1733956,0
3049,精金,TSE,1156386,0
2485,兆赫,TSE,1086630,0
3055,蔚華科,TSE,1135465,0
8438,昶昕,TSE,1105166,0
2472,立隆電,TSE,1007324,96000
6278,台表科,TSE,1118796,6000
3450,聯鈞,TSE,957817,193000
2601,益航,TSE,1058000,0
2357,華碩,TSE,782380,43124
4927,泰鼎-KY,TSE,1002510,0
3714,富采,TSE,1041222,0
3605,宏致,TSE,1195727,0
1907,永豐餘,TSE,921687,2000
2501,國建,TSE,924000,0
