code,name,market,foreign_net,sitc_net
2884,玉山金,TSE,24102093,526945
2891,中信金,TSE,6376598,6340001
2409,友達,TSE,16469466,45855
3231,緯創,TSE,11142193,-1380751
3481,群創,TSE,34660612,-22851947
6505,台塑化,TSE,11002422,76460
2412,中華電,TSE,8462435,987101
2382,廣達,TSE,5295581,2091470
2867,三商壽,TSE,6218700,0
2882,國泰金,TSE,8311903,-2505887
2618,長榮航,TSE,13269522,-6457925
5880,合庫金,TSE,5330969,-23351
2610,華航,TSE,1435561,6164000
1101,台泥,TSE,7053712,23000
5871,中租-KY,TSE,3547701,3150654
1303,南亞,TSE,-5769928,8675803
5876,上海商銀,TSE,5897164,-2027000
2881,富邦金,TSE,-1554649,5882895
6116,彩晶,TSE,5666031,0
4958,臻鼎-KY,TSE,6867525,-1258808
3045,台灣大,TSE,4798233,-759397
2880,華南金,TSE,-15752639,12696484
2344,華邦電,TSE,2621493,-160970
3576,聯合再生,TSE,4316247,0
2356,英業達,TSE,7341949,-3992504
1216,統一,TSE,-5238258,6533298
2330,台積電,TSE,-1672128,1048697
2317,鴻海,TSE,60865,449800
2002,中鋼,TSE,3349234,6100
1402,遠東新,TSE,1529207,2307943
2883,凱基金,TSE,-2204209,-825373
2367,燿華,TSE,3208316,0
1802,台玻,TSE,3707156,-3000
3042,晶技,TSE,3553212,-389000
2886,兆豐金,TSE,-9985009,7047179
2489,瑞軒,TSE,2989736,-1000
2337,旺宏,TSE,2956733,-104000
2634,漢翔,TSE,2051784,381000
1409,新纖,TSE,2814107,-2000
2615,萬海,TSE,2511923,143604
2327,國巨*,TSE,4851993,-1983441
4919,新唐,TSE,2676514,13000
4763,材料*-KY,TSE,1643002,719000
5522,遠雄,TSE,2245268,136000
2485,兆赫,TSE,2394962,-34000
4904,遠傳,TSE,2621943,-1536577
2377,微星,TSE,321307,2035000
2481,強茂,TSE,2535384,0
3037,欣興,TSE,1920493,137624
2105,正新,TSE,4341307,-3163113
2388,威盛,TSE,2081516,-56000
9945,潤泰新,TSE,2051893,0
2375,凱美,TSE,2047235,63000
3706,神達,TSE,340356,1775000
4989,榮科,TSE,1970900,0
2472,立隆電,TSE,2870177,-876000
2426,鼎元,TSE,1825653,0
3714,富采,TSE,1817362,0
2351,順德,TSE,1955070,-49000
2347,聯強,TSE,2843570,-1585780
2855,統一證,TSE,-112201,1745303
3715,定穎投控,TSE,1716545,-31000
6278,台表科,TSE,1599345,13000
2371,大同,TSE,1499101,16000
6919,康霈*,TSE,1436685,-2000
4927,泰鼎-KY,TSE,1479375,0
2312,金寶,TSE,1596885,110000
1714,和桐,TSE,1009097,554000
2912,統一超,TSE,-192017,1643000
6239,力成,TSE,1419191,45204
6451,訊芯-KY,TSE,1353061,-5000
2464,盟立,TSE,1446276,0
3036,文曄,TSE,3159794,-1982593
2646,星宇航空,TSE,1090300,-2000
2455,全新,TSE,1359821,-63000
1711,永光,TSE,1450099,0
6209,今國光,TSE,1302653,0
2478,大毅,TSE,1042400,78000
2369,菱生,TSE,1566233,0
6834,天二科技,TSE,1020489,36000
8438,昶昕,TSE,1012200,0
2454,聯發科,TSE,663357,2094
4906,正文,TSE,1056875,-50000
2603,長榮,TSE,1157175,-988263
1717,長興,TSE,1280991,-1381
1718,中纖,TSE,1153000,175000
2441,超豐,TSE,323741,854000
4764,雙鍵,TSE,110779,795000
2633,台灣高鐵,TSE,630000,153000
2385,群光,TSE,1773424,-1189518
2483,百容,TSE,857799,0
3189,景碩,TSE,-660489,2219096
1597,直得,TSE,828154,-9000
3026,禾伸堂,TSE,746360,37000
1434,福懋,TSE,837420,-2000
3450,聯鈞,TSE,759827,0
9917,中保科,TSE,664393,125000
2233,宇隆,TSE,817046,0
3033,威健,TSE,1207890,15311
4977,眾達-KY,TSE,764462,-10000
2316,楠梓電,TSE,613517,156000
2302,麗正,TSE,740364,54000
4960,誠美材,TSE,699537,0
2374,佳能,TSE,894347,-1000
4915,致伸,TSE,980900,-326525
8110,華東,TSE,746695,0
6285,啟碁,TSE,380351,8000
5243,乙盛-KY,TSE,514059,100000
1809,中釉,TSE,676850,0
3059,華晶科,TSE,772940,0
2474,可成,TSE,-1619665,2234000
1727,中華化,TSE,651347,0
1319,東陽,TSE,941432,-263565
2399,映泰,TSE,657946,-20000
4564,元翎,TSE,664920,0
2301,光寶科,TSE,-364031,102128
2355,敬鵬,TSE,767123,-44000
9933,中鼎,TSE,494446,8400
4739,康普,TSE,627310,0
1708,東鹼,TSE,475851,135000
3013,晟銘電,TSE,650058,0
6449,鈺邦,TSE,594104,0
6550,北極星藥業-KY,TSE,577460,0
2342,茂矽,TSE,602340,0
3035,智原,TSE,641025,0
3591,艾笛森,TSE,73332,0
1709,和益,TSE,505960,0
3717,聯嘉投控,TSE,477709,0
6271,同欣電,TSE,639127,0
6155,鈞寶,TSE,510167,43000
3701,大眾控,TSE,522000,0
6191,精成科,TSE,-991747,1529000
2363,矽統,TSE,522836,16000
4956,光鋐,TSE,484700,-10000
2820,華票,TSE,421019,0
1528,恩德,TSE,471445,-16000
2357,華碩,TSE,462152,-344513
4967,十銓,TSE,483478,2000
3149,正達,TSE,452412,0
8261,富鼎,TSE,486030,55000
6531,愛普*,TSE,551187,4071
3703,欣陸,TSE,409053,-1000
1721,三晃,TSE,430100,0
3535,晶彩科,TSE,425112,0
3016,嘉晶,TSE,481835,0
2530,華建,TSE,-60907,434000
3605,宏致,TSE,633769,0
9934,成霖,TSE,400981,0
2511,太子,TSE,344200,0
7788,松川精密,TSE,447300,0
2365,昆盈,TSE,407010,0
1712,興農,TSE,224000,160000
4551,智伸科,TSE,101916,290000
2606,裕民,TSE,1062681,-724000
6405,悅城,TSE,380994,0
4566,時碩工業,TSE,358000,0
3048,益登,TSE,380328,0
6789,采鈺,TSE,417599,16000
1515,力山,TSE,73500,91000
1582,信錦,TSE,392200,-15000
2428,興勤,TSE,274355,100000
1466,聚隆,TSE,342900,0
6869,雲豹能源,TSE,337270,0
2476,鉅祥,TSE,525930,0
6525,捷敏-KY,TSE,474423,41542
3305,昇貿,TSE,394763,0
9910,豐泰,TSE,855286,-554000
2543,皇昌,TSE,323354,-1000
3312,弘憶股,TSE,321429,0
2498,宏達電,TSE,289670,0
2801,彰銀,TSE,-9824332,9803000
2258,鴻華先進-創,TSE,278609,0
1503,士電,TSE,37479,240000
1519,華城,TSE,314900,0
1210,大成,TSE,-263005,306000
6830,汎銓,TSE,336604,0
3062,建漢,TSE,346816,0
6706,惠特,TSE,336200,0
2923,鼎固-KY,TSE,300100,0
3661,世芯-KY,TSE,325031,22014
2362,藍天,TSE,292889,0
2542,興富發,TSE,-7047630,7357000
5471,松翰,TSE,390971,0
7780,大研生醫*,TSE,299600,0
4576,大銀微系統,TSE,298342,0
6719,力智,TSE,303426,0
2915,潤泰全,TSE,236664,0
2442,新美齊,TSE,275400,0
3049,精金,TSE,313529,0
2413,環科,TSE,260875,0
1795,美時,TSE,251500,0
6669,緯穎,TSE,181116,57573
2492,華新科,TSE,160336,39000
9907,統一實,TSE,931000,-713231
2419,仲琦,TSE,263400,-15000
8046,南電,TSE,-1040319,1325639
6861,睿生光電,TSE,264787,0
2905,三商,TSE,220310,0
9925,新保,TSE,211500,0
3094,聯傑,TSE,259400,0
8105,凌巨,TSE,68820,132000
6757,台灣虎航,TSE,234159,0
