股票代號,股票名稱,最新收盤價,本期大戶持股%,一週前大戶%,兩週前大戶%,大戶持股兩週變動,本期散戶持股%,一週前散戶%,兩週前散戶%,散戶持股兩週變動,本期股東人數,一週前股東人數,兩週前股東人數,股東人數兩週變動,外資5日買超天數,投信5日買超天數,AI 評等,目標價
1727,中華化,115.5,62.27,57.82,50.27,12.0,34.42,39.12,45.59,-11.17,16013,17559,21265,-5252,0,0,買進,146.3
6257,矽格,243.0,42.8,37.89,36.99,5.81,50.86,56.26,57.37,-6.51,111076,118281,121371,-10295,0,0,買進,289.8
3035,智原,206.5,26.84,23.03,22.54,4.3,70.02,72.82,73.55,-3.53,112244,114069,114426,-2182,0,0,買進,251.1
3605,宏致,183.5,61.62,59.98,57.43,4.19,32.5,35.3,38.18,-5.68,40932,42578,44639,-3707,0,0,買進,224.2
6133,金橋,25.95,46.87,42.96,42.94,3.93,50.51,51.25,53.83,-3.32,22126,22374,22667,-541,0,0,買進,31.8
8996,高力,1530.0,27.2,25.13,24.03,3.17,57.91,61.37,62.06,-4.15,35382,38635,38780,-3398,0,0,買進,1911.4
4163,鐿鈦,0.0,61.63,58.66,58.65,2.98,32.49,34.81,34.83,-2.34,24869,24896,24900,-31,0,0,買進,127.3
8027,鈦昇,0.0,16.73,14.72,13.77,2.96,76.83,77.06,79.18,-2.35,65399,65869,66399,-1000,0,0,買進,122.5
5201,凱衛,0.0,40.04,37.24,37.23,2.81,45.84,46.56,46.75,-0.91,13491,13506,13521,-30,0,0,買進,126.4
5439,高技,0.0,24.49,22.93,21.87,2.62,67.51,67.91,68.96,-1.45,35482,35518,35547,-65,0,0,買進,120.2
3105,穩懋,0.0,49.69,48.25,47.25,2.44,47.56,49.4,49.9,-2.34,125535,132331,135833,-10298,0,0,買進,123.8
3042,晶技,203.0,49.18,47.29,47.06,2.12,45.94,48.76,48.88,-2.94,88750,93364,95275,-6525,0,0,買進,250.4
6245,立端,0.0,42.0,41.6,40.04,1.96,55.94,56.37,56.91,-0.97,19351,19577,19687,-336,0,0,中立,122.8
3176,基亞,0.0,30.53,30.45,28.65,1.88,66.13,66.21,66.45,-0.32,45560,45617,45733,-173,0,0,中立,119.0
2484,希華,72.8,16.62,16.57,14.83,1.79,78.23,79.61,80.76,-2.53,88701,89185,90373,-1672,0,0,中立,87.4
