股票代號,股票名稱,最新收盤價,本期大戶持股%,一週前大戶%,兩週前大戶%,大戶持股兩週變動,本期散戶持股%,一週前散戶%,兩週前散戶%,散戶持股兩週變動,本期股東人數,一週前股東人數,兩週前股東人數,股東人數兩週變動,外資5日買超天數,投信5日買超天數,AI 評等,目標價
3231,緯創,197.0,64.89,62.08,60.61,4.28,32.7,35.57,37.01,-4.31,340890,369950,378119,-37229,0,0,買進,235.9
3037,欣興,1000.0,68.18,66.89,65.21,2.97,27.28,28.65,30.33,-3.05,358580,394099,404031,-45451,0,0,買進,1271.5
2610,華航,20.1,71.57,70.67,68.7,2.87,26.83,27.73,29.65,-2.82,238005,244054,251270,-13265,0,0,買進,24.9
2618,長榮航,41.0,78.27,77.54,75.71,2.56,19.69,20.35,22.15,-2.46,203079,208411,214128,-11049,0,0,買進,50.5
2883,凱基金,31.5,64.57,64.22,62.14,2.43,33.26,33.59,35.63,-2.37,727733,731269,754129,-26396,0,0,買進,40.2
2317,鴻海,262.0,67.04,66.22,64.88,2.16,31.29,32.12,33.44,-2.15,1133408,1169534,1192970,-59562,0,0,買進,324.2
2891,中信金,66.5,79.0,78.95,76.87,2.13,19.24,19.36,21.4,-2.16,581638,583640,601868,-20230,0,0,買進,84.7
2603,長榮,215.5,66.95,66.94,64.94,2.01,29.78,29.97,32.01,-2.23,301145,303388,312506,-11361,0,0,買進,262.5
2881,富邦金,128.5,84.28,84.23,82.34,1.94,14.4,14.44,16.36,-1.96,384975,385924,396890,-11915,0,0,中立,164.3
2887,台新新光金,36.2,70.97,70.84,69.17,1.8,26.73,26.84,28.52,-1.79,702596,704762,722417,-19821,0,0,中立,42.6
