股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
4916,事欣科,TSE,95.0,92.95,103.18,118,23,"(+204, -22, +118)","(+95, +35, +23)",3326,【主力點火資】,False,True,True
6415,矽力*-KY,TSE,424.5,398.6,467.15,117,0,"(+21, +23, +117)","(+3, +5, +0)",5182,【主力點火資】,False,True,True
2495,普安,TSE,35.3,33.62,40.56,116,11,"(-43, -16, +116)","(-3, +4, +11)",2206,【主力點火資】,False,True,True
1526,日馳,TSE,18.3,18.22,16.27,112,2,"(-76, +8, +112)","(-13, +3, +2)",3864,【主力點火資】,False,True,False
3059,華晶科,TSE,38.35,37.75,42.12,111,6,"(-154, -115, +111)","(-2, -18, +6)",2225,【主力點火資】,False,True,True
2609,陽明,TSE,50.8,50.48,50.04,110,-3,"(-232, -343, +110)","(+20, -40, -3)",16282,【主力點火資】,False,True,False
3260,威剛,OTC,391.5,386.3,390.12,110,63,"(-546, +1313, +110)","(+539, -353, +63)",19949,【主力點火資】,False,True,False
3615,安可,OTC,34.6,32.98,40.49,109,21,"(-1, -26, +109)","(-6, +0, +21)",981,【主力點火資】,False,True,True
6693,廣閎科,OTC,157.0,148.2,194.37,109,-1,"(-2, +10, +109)","(+1, +0, -1)",714,【主力點火資】,False,True,True
6179,亞通,OTC,24.65,23.77,25.65,106,10,"(+4, +54, +106)","(-3, -7, +10)",976,【主力點火資】,False,True,True
8105,凌巨,TSE,15.75,15.4,17.53,105,0,"(-66, +1, +105)","(-10, +0, +0)",3227,【主力點火資】,False,True,True
1582,信錦,TSE,68.2,65.46,72.39,103,1,"(-99, -11, +103)","(+2, -2, +1)",1053,【主力點火資】,False,True,True
3441,聯一光,OTC,92.4,82.96,71.47,102,325,"(-310, +412, +102)","(+36, +113, +325)",34324,【主力點火資】,False,True,False
2103,台橡,TSE,21.2,20.96,23.07,101,-2,"(+32, +117, +101)","(-1, +5, -2)",5598,【主力點火資】,False,True,True
3645,達邁,TSE,67.5,63.9,72.22,101,7,"(+207, -8, +101)","(+9, +1, +7)",2101,【主力點火資】,False,True,True
3665,貿聯-KY,TSE,2095.0,2082.0,1988.36,100,8,"(+13, +16, +100)","(+10, -13, +8)",3794,【主力點火資】,False,True,False
3374,精材,OTC,304.5,284.7,344.57,99,61,"(-1081, +208, +99)","(-121, -3, +61)",8377,【主力點火資】,False,True,True
2353,宏��,TSE,28.8,28.61,30.34,97,1212,"(+166, -277, +97)","(-35, -65, +1212)",28433,【主力點火資】,False,True,True
3060,銘異,TSE,27.75,26.65,30.89,94,0,"(-83, +33, +94)","(-16, +1, +0)",2288,【主力點火資】,False,True,True
1309,台達化,TSE,12.55,12.53,14.12,91,33,"(-183, +179, +91)","(-162, +1, +33)",2810,【主力點火資】,False,True,True
2385,群光,TSE,106.0,104.2,105.28,91,-5,"(-106, +13, +91)","(+17, -12, -5)",4505,【主力點火資】,False,True,False
6603,富強鑫,OTC,26.3,25.81,25.16,91,-13,"(-16, -58, +91)","(-5, +3, -13)",2492,【主力點火資】,False,True,False
2426,鼎元,TSE,55.3,51.83,60.64,84,-42,"(-873, +966, +84)","(-63, -31, -42)",8736,【主力點火資】,False,True,True
8088,品安,OTC,45.5,42.91,48.75,82,1,"(-3, -52, +82)","(-14, +0, +1)",811,【主力點火資】,False,True,True
6127,九豪,OTC,48.25,46.08,59.88,80,23,"(-70, +72, +80)","(+12, +3, +23)",4167,【主力點火資】,False,True,True
3591,艾笛森,TSE,19.85,19.18,22.09,77,0,"(+6, +332, +77)","(-18, +0, +0)",975,【主力點火資】,False,True,True
7795,長廣,TSE,385.5,357.1,467.82,76,3,"(+41, +70, +76)","(+0, +0, +3)",693,【主力點火資】,False,True,True
3689,湧德,OTC,101.5,98.16,107.48,75,5,"(-38, -10, +75)","(+0, +0, +5)",1400,【主力點火資】,False,True,True
3044,健鼎,TSE,374.0,356.8,405.43,74,-1,"(-57, +148, +74)","(-11, +0, -1)",3525,【主力點火資】,False,True,True
1909,榮成,TSE,10.05,9.98,10.19,69,4,"(-267, -575, +69)","(+30, -33, +4)",3055,【主力點火資】,False,True,True
2367,燿華,TSE,38.0,36.23,44.39,69,75,"(-735, -86, +69)","(+0, +0, +75)",9851,【主力點火資】,False,True,True
6509,聚和,OTC,43.7,42.32,46.85,69,1,"(-11, +0, +69)","(+4, +0, +1)",1586,【主力點火資】,False,True,True
2890,永豐金,TSE,40.05,39.35,38.71,68,-5,"(+22, +115, +68)","(+15, -10, -5)",37102,【主力點火資】,False,True,False
5469,瀚宇博,TSE,67.4,66.0,72.55,68,5,"(-36, +60, +68)","(-10, -3, +5)",2520,【主力點火資】,False,True,True
3081,聯亞,OTC,1790.0,1631.0,1692.12,68,5,"(-39, +25, +68)","(-14, +12, +5)",3023,【主力點火資】,False,True,False
5498,凱崴,OTC,44.5,41.8,50.44,66,-39,"(-315, -31, +66)","(+28, -24, -39)",2244,【主力點火資】,False,True,True
5607,遠雄港,TSE,47.75,47.45,48.26,65,0,"(-3, +24, +65)","(+0, +0, +0)",522,【主力點火資】,False,True,True
5340,建榮,OTC,64.2,60.64,72.3,65,3,"(+5, +40, +65)","(-6, -13, +3)",1358,【主力點火資】,False,True,True
2461,光群雷,TSE,16.2,15.78,16.39,64,0,"(-14, +1, +64)","(-1, +0, +0)",908,【主力點火資】,False,True,True
3563,牧德,TSE,624.0,604.4,662.0,64,1,"(-96, +62, +64)","(+1, -1, +1)",605,【主力點火資】,False,True,True
4764,雙鍵,TSE,263.0,258.7,295.54,63,23,"(-422, +152, +63)","(+10, +1, +23)",2963,【主力點火資】,False,True,True
2101,南港,TSE,33.35,32.8,33.58,62,2,"(-354, +56, +62)","(+0, +0, +2)",1892,【主力點火資】,False,True,True
3221,台嘉碩,OTC,45.45,43.67,49.8,61,50,"(-108, -63, +61)","(-9, -6, +50)",3212,【主力點火資】,False,True,True
2498,宏達電,TSE,39.9,39.23,42.08,59,-20,"(-286, -261, +59)","(-12, -133, -20)",4995,【主力點火資】,False,True,True
