股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
5347,世界,OTC,151.5,145.4,165.47,1376,14,"(-880, +436, +1376)","(-68, -30, +14)",25794,【主力點火資】,False,True,True
3260,威剛,OTC,398.5,388.4,391.07,1313,-353,"(-730, -546, +1313)","(+1218, +539, -353)",18615,【主力點火資】,False,True,False
3441,聯一光,OTC,84.0,78.62,70.8,412,113,"(+196, -310, +412)","(+214, +36, +113)",30200,【主力點火資】,False,True,False
3362,先進光,OTC,172.0,165.1,165.57,271,14,"(+257, -233, +271)","(+501, -126, +14)",17761,【主力點火資】,False,True,False
4908,前鼎,OTC,132.0,130.8,147.47,197,-3,"(-222, -44, +197)","(+18, -7, -3)",1385,【主力點火資】,False,True,True
3520,華盈,OTC,18.45,17.27,16.88,107,3,"(-16, +34, +107)","(-2, +6, +3)",1011,【主力點火資】,False,True,False
3529,力旺,OTC,2475.0,2296.0,2476.5,94,-2,"(-33, -8, +94)","(+0, +9, -2)",1038,【主力點火資】,False,True,True
3360,尚立,OTC,15.7,15.63,18.69,70,-1,"(-397, -32, +70)","(-4, -24, -1)",1179,【主力點火資】,False,True,True
4749,新應材,OTC,722.0,709.8,810.25,57,53,"(-417, -44, +57)","(+3, -7, +53)",1264,【主力點火資】,False,True,True
5289,宜鼎,OTC,1295.0,1233.0,1384.5,45,1,"(-316, +124, +45)","(-14, -1, +1)",2233,【主力點火資】,False,True,True
2061,風青,OTC,55.5,53.76,62.23,42,17,"(+267, +112, +42)","(-7, +2, +17)",2738,【主力點火資】,False,True,True
5386,青雲,OTC,227.5,224.0,247.3,34,6,"(-106, -26, +34)","(-2, +10, +6)",1019,【主力點火資】,False,True,True
5483,中美晶,OTC,157.0,173.0,211.26,3855,-15,"(-56, -870, +3855)","(+702, -780, -15)",36814,【散戶套牢資 / 留意斷頭】,False,False,True
3105,穩懋,OTC,294.5,306.3,358.73,994,179,"(-959, -1356, +994)","(+816, -523, +179)",25797,【散戶套牢資 / 留意斷頭】,False,False,True
1815,富喬,OTC,66.3,66.48,82.49,591,-138,"(-4232, -550, +591)","(-241, +36, -138)",14094,【散戶套牢資 / 留意斷頭】,False,False,True
