股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3669,圓展,TSE,40.45,39.42,35.94,6,11,"(+146, +139, +6)","(+13, +7, +11)",2442,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
2834,臺企銀,TSE,18.1,18.06,17.97,5310,-56,"(-469, +2448, +5310)","(+54, +2, -56)",37675,【主力點火資】,False,True,False
2618,長榮航,TSE,42.75,41.67,41.25,216,67,"(-957, +240, +216)","(+9, -14, +67)",45835,【主力點火資】,False,True,False
6757,台灣虎航,TSE,54.7,53.46,55.63,121,2,"(+6, -27, +121)","(+0, +0, +2)",2151,【主力點火資】,False,True,True
2547,日勝生,TSE,10.2,10.14,10.37,85,0,"(-125, +15, +85)","(+0, +0, +0)",1981,【主力點火資】,False,True,True
4904,遠傳,TSE,106.0,104.9,100.2,48,0,"(-215, -31, +48)","(+4, -1, +0)",12206,【主力點火資】,False,True,False
2905,三商,TSE,16.2,16.03,15.48,20,0,"(+117, +28, +20)","(+0, +0, +0)",1255,【主力點火資】,False,True,False
2337,旺宏,TSE,113.0,125.4,134.78,1445,5194,"(+346, +830, +1445)","(+24, -223, +5194)",46852,【散戶套牢資 / 留意斷頭】,False,False,True
2883,凱基金,TSE,29.6,30.45,29.8,502,9,"(-53, -21, +502)","(-14, -17, +9)",43493,【散戶套牢資 / 留意斷頭】,False,False,True
2881,富邦金,TSE,125.5,127.7,124.9,419,-16,"(+157, -211, +419)","(-5, +19, -16)",19379,一般資增,False,False,False
2344,華邦電,TSE,144.0,158.1,168.62,247,7836,"(-1690, +2752, +247)","(-1, +213, +7836)",112875,【散戶套牢資 / 留意斷頭】,False,False,True
2002,中鋼,TSE,19.0,19.01,18.64,232,1000,"(-1326, -507, +232)","(+41, +8, +1000)",53005,一般資增,False,False,False
2887,台新新光金,TSE,33.95,34.43,34.07,222,31,"(-1851, +83, +222)","(+3, -5, +31)",51355,【散戶套牢資 / 留意斷頭】,False,False,True
3041,揚智,TSE,22.0,23.41,25.53,160,35,"(-41, +52, +160)","(+10, -2, +35)",1097,【散戶套牢資 / 留意斷頭】,False,False,True
6243,迅杰,TSE,49.6,49.72,44.28,150,24,"(+188, +294, +150)","(+51, -48, +24)",8906,一般資增,False,False,False
2353,宏��,TSE,28.85,29.94,31.12,104,23,"(-11, +58, +104)","(-15, +6, +23)",19799,【散戶套牢資 / 留意斷頭】,False,False,True
6120,達運,TSE,12.1,12.87,13.68,62,1,"(-21, +146, +62)","(+0, +0, +1)",2304,【散戶套牢資 / 留意斷頭】,False,False,True
3094,聯傑,TSE,32.8,35.91,38.52,54,2,"(+11, +9, +54)","(-27, +0, +2)",1886,【散戶套牢資 / 留意斷頭】,False,False,True
1904,正隆,TSE,21.35,21.5,22.25,44,2,"(+86, -95, +44)","(+0, +0, +2)",1089,【散戶套牢資 / 留意斷頭】,False,False,True
8114,振樺電,TSE,213.5,222.8,204.28,44,-2,"(-479, -307, +44)","(+4, +5, -2)",2739,一般資增,False,False,False
8996,高力,TSE,906.0,1012.2,1182.25,43,-3,"(-25, -162, +43)","(-9, -4, -3)",2494,【散戶套牢資 / 留意斷頭】,False,False,True
3149,正達,TSE,68.1,69.48,80.48,34,86,"(+338, +72, +34)","(-115, -15, +86)",8997,【散戶套牢資 / 留意斷頭】,False,False,True
9914,美利達,TSE,77.2,78.3,77.39,33,-4,"(-27, -32, +33)","(-14, -2, -4)",2157,【散戶套牢資 / 留意斷頭】,False,False,True
6944,兆聯實業,TSE,715.0,778.26,755.2,32,5,"(+27, +0, +32)","(+8, +1, +5)",1121,【散戶套牢資 / 留意斷頭】,False,False,True
1608,華榮,TSE,28.3,29.7,30.99,30,1,"(+20, +146, +30)","(+1, +5, +1)",2062,【散戶套牢資 / 留意斷頭】,False,False,True
3550,聯穎,TSE,20.2,21.8,26.42,27,-6,"(+17, -77, +27)","(-1, -2, -6)",1211,【散戶套牢資 / 留意斷頭】,False,False,True
3712,永崴投控,TSE,17.0,18.11,17.58,22,3,"(-10, -2, +22)","(+104, +13, +3)",1008,【散戶套牢資 / 留意斷頭】,False,False,True
2820,華票,TSE,16.5,16.52,16.75,18,1,"(+0, -20, +18)","(+0, +0, +1)",1497,【散戶套牢資 / 留意斷頭】,False,False,True
1722,台肥,TSE,46.05,46.37,47.4,16,1,"(-2, +33, +16)","(-1, +1, +1)",2410,【散戶套牢資 / 留意斷頭】,False,False,True
1560,中砂,TSE,635.0,681.2,701.3,15,-5,"(+21, -30, +15)","(-12, +0, -5)",1363,【散戶套牢資 / 留意斷頭】,False,False,True
2103,台橡,TSE,21.2,22.94,23.38,10,11,"(-1582, -755, +10)","(+0, +0, +11)",5567,【散戶套牢資 / 留意斷頭】,False,False,True
2912,統一超,TSE,237.5,238.9,239.07,8,0,"(-54, +14, +8)","(+0, +0, +0)",3609,【散戶套牢資 / 留意斷頭】,False,False,True
2104,國際中橡,TSE,9.9,10.27,10.58,2,-1,"(+54, +152, +2)","(+4, +0, -1)",4699,【散戶套牢資 / 留意斷頭】,False,False,True
