股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3363,上詮,OTC,582.0,552.6,570.4,80,40,"(-68, +104, +80)","(+82, +16, +40)",3983,【主力點火資】,False,True,False
4908,前鼎,OTC,140.5,140.4,159.7,62,0,"(-30, +233, +62)","(-3, +2, +0)",1658,【主力點火資】,False,True,True
5386,青雲,OTC,254.5,253.4,264.99,43,5,"(+28, +41, +43)","(-3, +3, +5)",1389,【主力點火資】,False,True,True
3211,順達,OTC,382.0,380.3,408.59,20,-13,"(-174, +24, +20)","(+18, -1, -13)",4228,【主力點火資】,False,True,True
6147,頎邦,OTC,158.0,172.1,197.22,728,6032,"(+3178, -235, +728)","(+267, -129, +6032)",23208,【散戶套牢資 / 留意斷頭】,False,False,True
6538,倉和,OTC,133.5,139.3,137.7,230,-18,"(+2, +43, +230)","(-23, -2, -18)",1886,【散戶套牢資 / 留意斷頭】,False,False,True
6548,長科*,OTC,68.0,69.38,80.51,158,-107,"(-272, -118, +158)","(-184, -206, -107)",5414,【散戶套牢資 / 留意斷頭】,False,False,True
3317,尼克森,OTC,75.7,78.1,89.54,50,6,"(-43, -13, +50)","(-38, +10, +6)",1648,【散戶套牢資 / 留意斷頭】,False,False,True
3264,欣銓,OTC,209.5,210.4,226.11,39,28,"(-32, +70, +39)","(+25, +26, +28)",5743,【散戶套牢資 / 留意斷頭】,False,False,True
6015,宏遠證,OTC,16.2,16.31,17.17,21,-20,"(+16, -10, +21)","(+12, +6, -20)",1224,【散戶套牢資 / 留意斷頭】,False,False,True
3455,由田,OTC,188.0,194.8,224.03,12,1,"(+82, +50, +12)","(-8, -2, +1)",1199,【散戶套牢資 / 留意斷頭】,False,False,True
4171,瑞基,OTC,19.0,19.13,17.58,8,0,"(+73, +41, +8)","(+0, +0, +0)",1168,一般資增,False,False,False
5392,能率,OTC,41.5,41.87,45.17,1,-1,"(+22, +3, +1)","(+1, -2, -1)",1021,【散戶套牢資 / 留意斷頭】,False,False,True
6432,今展科,OTC,70.0,70.24,73.63,1,7,"(+17, -3, +1)","(+3, +9, +7)",1055,【散戶套牢資 / 留意斷頭】,False,False,True
