股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
1434,福懋,TSE,18.47,17.37,16.57,1588,5,"(+192, +2115, +1588)","(+4, +1, +5)",12067,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
8926,台汽電,TSE,81.0,75.06,74.48,1241,77,"(+123, +150, +1241)","(+1, +20, +77)",8225,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
3015,全漢,TSE,74.8,67.74,61.89,796,16,"(+753, +263, +796)","(+5, +1, +16)",5825,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
6525,捷敏-KY,TSE,201.0,170.6,145.65,710,11,"(+211, +781, +710)","(+16, +204, +11)",4457,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
9904,寶成,TSE,24.35,24.13,24.61,400,1,"(+1566, +317, +400)","(+1, +1, +1)",36112,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
1711,永光,TSE,47.35,45.43,44.91,389,27,"(+27, +366, +389)","(+198, +225, +27)",7989,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
4551,智伸科,TSE,282.0,249.4,207.3,201,13,"(+6, +183, +201)","(+13, +10, +13)",1056,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
2331,精英,TSE,21.3,21.18,21.48,121,2,"(+100, +77, +121)","(+7, +2, +2)",2711,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,True
6197,佳必琪,TSE,372.5,358.52,340.42,36,11,"(+58, +12, +36)","(+171, +115, +11)",2621,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
3498,陽程,OTC,124.0,121.7,121.28,12,6,"(+113, +76, +12)","(+11, +4, +6)",1034,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
2352,佳世達,TSE,35.4,33.19,31.25,5702,72,"(-496, -585, +5702)","(-422, -671, +72)",37912,【主力點火資】,False,True,False
1714,和桐,TSE,20.9,20.66,17.9,4064,-77,"(+108, -846, +4064)","(-140, +45, -77)",37410,【主力點火資】,False,True,False
3481,群創,TSE,69.2,67.78,60.25,3620,2120,"(-2614, -477, +3620)","(+490, -1168, +2120)",468913,【主力點火資】,False,True,False
3042,晶技,TSE,224.5,218.7,211.81,2449,-48,"(+4506, -1174, +2449)","(+139, +449, -48)",49811,【主力點火資】,False,True,False
2103,台橡,TSE,24.2,22.08,21.43,2206,-24,"(+62, +2538, +2206)","(+118, +34, -24)",11395,【主力點火資】,False,True,False
6147,頎邦,OTC,217.0,214.9,230.82,1878,2,"(+1355, +927, +1878)","(-11, +1, +2)",35774,【主力點火資】,False,True,True
2426,鼎元,TSE,79.2,76.24,76.24,1845,-4,"(+700, +796, +1845)","(-8, +32, -4)",15416,【主力點火資】,False,True,False
4989,榮科,TSE,111.0,100.22,87.57,1677,-528,"(+1280, +483, +1677)","(+200, +172, -528)",24662,【主力點火資】,False,True,False
5309,系統電,OTC,68.9,64.94,67.2,1439,-226,"(+16, +374, +1439)","(-7, +3, -226)",4872,【主力點火資】,False,True,False
3532,台勝科,TSE,405.13,402.53,356.76,1430,-10,"(-207, -24, +1430)","(-3, -13, -10)",4025,【主力點火資】,False,True,False
2536,宏普,TSE,19.6,19.26,19.37,1340,0,"(+27, -21, +1340)","(+0, +0, +0)",1728,【主力點火資】,False,True,False
2481,強茂,TSE,227.5,205.0,171.12,1268,293,"(+2707, -874, +1268)","(+6, -89, +293)",7939,【主力點火資】,False,True,False
1609,大亞,TSE,43.75,39.68,37.54,1099,155,"(-39, +370, +1099)","(-8, +14, +155)",16256,【主力點火資】,False,True,False
5425,台半,OTC,144.0,130.1,114.41,1031,78,"(+1905, -1297, +1031)","(+55, -1, +78)",9801,【主力點火資】,False,True,False
3264,欣銓,OTC,257.0,241.4,224.17,1022,17,"(+390, -574, +1022)","(+29, -11, +17)",11152,【主力點火資】,False,True,False
2634,漢翔,TSE,59.5,56.77,49.66,1021,0,"(-364, +353, +1021)","(-111, -1, +0)",55086,【主力點火資】,False,True,False
2887,台新新光金,TSE,32.98,32.32,30.52,895,-258,"(+16, +0, +895)","(-2, -108, -258)",72054,【主力點火資】,False,True,False
5285,界霖,TSE,106.5,98.4,94.25,880,12,"(+26, -96, +880)","(+23, -10, +12)",4547,【主力點火資】,False,True,False
6257,矽格,TSE,268.75,248.18,226.12,842,0,"(+457, -296, +842)","(+0, +0, +0)",13226,【主力點火資】,False,True,False
1709,和益,TSE,24.85,23.42,21.63,825,0,"(+339, +527, +825)","(+0, +0, +0)",4592,【主力點火資】,False,True,False
1605,華新,TSE,36.55,36.26,37.05,794,154,"(+1127, -142, +794)","(-57, +37, +154)",22641,【主力點火資】,False,True,True
8131,福懋科,TSE,81.1,72.76,71.88,772,34,"(+2, -89, +772)","(+8, +1, +34)",8442,【主力點火資】,False,True,False
5351,鈺創,OTC,89.9,84.82,88.7,766,100,"(+357, +109, +766)","(-33, -22, +100)",16446,【主力點火資】,False,True,False
6753,龍德造船,TSE,153.0,145.0,128.03,759,23,"(+249, -457, +759)","(-1, +32, +23)",7385,【主力點火資】,False,True,False
4931,新盛力,OTC,261.0,240.99,247.82,758,35,"(-19, -8, +758)","(+6, +0, +35)",3058,【主力點火資】,False,True,False
3717,聯嘉投控,TSE,29.12,28.42,23.52,709,39,"(-1847, -249, +709)","(-15, -71, +39)",22780,【主力點火資】,False,True,False
1101,台泥,TSE,23.7,23.34,23.45,639,-5,"(+126, -896, +639)","(+0, +14, -5)",31224,【主力點火資】,False,True,False
4564,元翎,TSE,19.15,17.26,16.02,636,8,"(+54, -513, +636)","(+0, +12, +8)",4195,【主力點火資】,False,True,False
1514,亞力,TSE,126.5,123.9,122.62,606,2,"(+363, +99, +606)","(+14, -1, +2)",7106,【主力點火資】,False,True,False
2305,全友,TSE,42.65,39.11,32.8,599,39,"(+30, +111, +599)","(-12, +7, +39)",1886,【主力點火資】,False,True,False
8096,擎亞,OTC,167.5,157.0,145.22,597,30,"(+403, +371, +597)","(-3, +12, +30)",2137,【主力點火資】,False,True,False
6235,華孚,TSE,46.95,42.41,41.12,573,13,"(+30, -161, +573)","(+1, +3, +13)",2854,【主力點火資】,False,True,False
2399,映泰,TSE,55.0,50.96,49.56,563,96,"(+549, +206, +563)","(+153, -100, +96)",13059,【主力點火資】,False,True,False
2382,廣達,TSE,362.52,357.54,356.79,535,-34,"(+106, +859, +535)","(+0, +12, -34)",13952,【主力點火資】,False,True,False
4906,正文,TSE,42.95,42.51,43.13,495,-27,"(+320, +305, +495)","(-114, +100, -27)",7456,【主力點火資】,False,True,True
2441,超豐,TSE,145.0,140.7,132.75,487,33,"(+149, +28, +487)","(+8, -21, +33)",11641,【主力點火資】,False,True,False
3511,矽瑪,OTC,28.05,25.21,24.47,458,6,"(-7, +31, +458)","(+2, +2, +6)",1618,【主力點火資】,False,True,False
3141,晶宏,OTC,83.2,79.76,74.79,457,-11,"(-21, +384, +457)","(-1, +56, -11)",4181,【主力點火資】,False,True,False
6901,鑽石投資,TSE,18.9,18.6,17.21,454,4,"(+26, +28, +454)","(+66, -50, +4)",5437,【主力點火資】,False,True,False
6603,富強鑫,OTC,26.8,25.1,23.5,454,-8,"(+179, +170, +454)","(+30, -22, -8)",2950,【主力點火資】,False,True,False
2302,麗正,TSE,52.2,51.5,43.71,436,6,"(+330, -373, +436)","(+59, -47, +6)",13245,【主力點火資】,False,True,False
2313,華通,TSE,235.0,229.1,245.68,432,69,"(+50, -196, +432)","(-55, -86, +69)",29387,【主力點火資】,False,True,True
1449,佳和,TSE,14.75,14.38,14.51,414,5,"(-48, -20, +414)","(+1, -3, +5)",1572,【主力點火資】,False,True,False
3257,虹冠電,TSE,72.2,69.38,62.8,410,1,"(+26, +204, +410)","(+2, -1, +1)",3581,【主力點火資】,False,True,False
3060,銘異,TSE,37.59,36.1,34.96,402,0,"(-70, -6, +402)","(-42, -66, +0)",5175,【主力點火資】,False,True,False
3317,尼克森,OTC,105.5,95.38,86.9,376,22,"(-554, +596, +376)","(+50, -28, +22)",8286,【主力點火資】,False,True,False
2356,英業達,TSE,65.09,64.99,64.73,370,-1017,"(-608, +133, +370)","(-38, -19, -1017)",29882,【主力點火資】,False,True,False
1904,正隆,TSE,23.9,22.27,22.16,336,0,"(+86, -84, +336)","(+21, +2, +0)",3798,【主力點火資】,False,True,False
1515,力山,TSE,42.75,38.28,28.95,320,50,"(-453, +489, +320)","(+140, +32, +50)",8353,【主力點火資】,False,True,False
2497,怡利電,TSE,66.8,59.7,60.35,298,6,"(+4, +50, +298)","(+0, +4, +6)",1110,【主力點火資】,False,True,False
4128,中天,OTC,17.9,16.5,15.43,287,11,"(+149, +395, +287)","(+0, +77, +11)",5987,【主力點火資】,False,True,False
6133,金橋,TSE,27.5,25.16,23.55,285,17,"(-206, +282, +285)","(+74, -43, +17)",8585,【主力點火資】,False,True,False
6015,宏遠證,OTC,17.95,17.64,18.22,282,4,"(+48, -38, +282)","(-32, +11, +4)",2217,【主力點火資】,False,True,True
2606,裕民,TSE,62.2,60.76,62.36,280,3,"(-14, -87, +280)","(+0, +0, +3)",3337,【主力點火資】,False,True,True
6994,富威電力,TSE,46.05,44.08,51.77,279,11,"(+39, +177, +279)","(-25, -25, +11)",3941,【主力點火資】,False,True,True
6548,長科*,OTC,94.2,88.54,87.86,274,-2,"(+105, -300, +274)","(+54, -49, -2)",15247,【主力點火資】,False,True,False
6727,亞泰金屬,OTC,484.22,434.57,423.29,268,6,"(+22, +147, +268)","(-11, +0, +6)",1100,【主力點火資】,False,True,False
3036,文曄,TSE,219.0,216.6,224.07,256,23,"(+221, +182, +256)","(-686, -94, +23)",9499,【主力點火資】,False,True,True
6213,聯茂,TSE,396.0,374.58,304.47,256,-26,"(-284, +800, +256)","(+133, +310, -26)",24498,【主力點火資】,False,True,False
6244,茂迪,OTC,27.4,27.07,28.17,255,3,"(+189, -130, +255)","(+7, -4, +3)",3554,【主力點火資】,False,True,True
2354,鴻準,TSE,58.4,55.24,55.37,254,5,"(-12, -190, +254)","(+5, -1, +5)",7002,【主力點火資】,False,True,False
2615,萬海,TSE,80.0,77.53,78.08,241,4,"(-211, -580, +241)","(+0, +0, +4)",10339,【主力點火資】,False,True,False
3323,加百裕,OTC,37.6,34.38,34.75,241,89,"(-18, -7, +241)","(+0, +2, +89)",1385,【主力點火資】,False,True,False
4147,中裕,OTC,72.2,66.96,60.86,225,-3,"(+26, +583, +225)","(-19, -6, -3)",2902,【主力點火資】,False,True,False
