股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
1810,和成,TSE,【主力點火資】,24.45,28.8,17.79,31.05,26.99
1709,和益,TSE,【主力點火資】,23.95,28.05,17.12,28.1,17.33
3363,上詮,OTC,【主力點火資】,640.0,579.0,-9.53,523.0,-18.28
1909,榮成,TSE,【主力點火資】,10.9,10.2,-6.42,10.15,-6.88
2530,華建,TSE,【主力點火資】,19.55,19.1,-2.3,19.45,-0.51
2838,聯邦銀,TSE,【主力點火資】,22.81,21.19,-7.09,20.5,-10.11
3037,欣興,TSE,【散戶套牢資 / 留意斷頭】,863.0,874.0,1.27,825.0,-4.4
3714,富采,TSE,【散戶套牢資 / 留意斷頭】,61.9,59.3,-4.2,52.3,-15.51
2301,光寶科,TSE,【散戶套牢資 / 留意斷頭】,214.0,212.5,-0.7,207.0,-3.27
3036,文曄,TSE,【散戶套牢資 / 留意斷頭】,210.5,203.5,-3.33,196.0,-6.89
2412,中華電,TSE,【散戶套牢資 / 留意斷頭】,134.3,133.0,-0.97,139.0,3.5
3045,台灣大,TSE,【散戶套牢資 / 留意斷頭】,108.26,109.0,0.69,112.0,3.46
3062,建漢,TSE,【散戶套牢資 / 留意斷頭】,24.2,23.2,-4.13,21.45,-11.36
3545,敦泰,TSE,一般資增,58.2,53.2,-8.59,49.85,-14.35
2374,佳能,TSE,【散戶套牢資 / 留意斷頭】,75.0,72.3,-3.6,67.2,-10.4
2615,萬海,TSE,【散戶套牢資 / 留意斷頭】,79.4,79.4,0.0,85.2,7.3
2461,光群雷,TSE,【散戶套牢資 / 留意斷頭】,17.4,16.6,-4.6,16.05,-7.76
