股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3231,緯創,TSE,164.0,148.5,148.79,2601,161,"(+2012, +680, +2601)","(+182, +31, +161)",50056,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
8039,台虹,TSE,233.0,206.0,165.52,2219,761,"(+3882, +1308, +2219)","(+74, +484, +761)",33220,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
6166,凌華,TSE,145.0,128.9,132.95,412,7,"(+48, +231, +412)","(+11, +17, +7)",1675,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
3022,威強電,TSE,90.9,83.92,85.76,188,4,"(+38, +85, +188)","(+3, +4, +4)",2125,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,True,True,False
2344,華邦電,TSE,171.0,160.9,179.47,4117,913,"(-4670, +3420, +4117)","(-4880, +191, +913)",112351,【主力點火資】,False,True,True
6147,頎邦,OTC,190.0,180.7,203.4,3178,267,"(-8969, +1628, +3178)","(-149, -283, +267)",24349,【主力點火資】,False,True,True
1303,南亞,TSE,208.0,202.0,186.7,2853,309,"(-3616, +5952, +2853)","(-4079, -369, +309)",119503,【主力點火資】,False,True,False
3374,精材,OTC,418.0,379.4,337.93,2763,104,"(+1797, +1527, +2763)","(-23, +236, +104)",23968,【主力點火資】,False,True,False
1714,和桐,TSE,15.7,15.48,17.91,2519,-19,"(-288, +242, +2519)","(-9, -69, -19)",18985,【主力點火資】,False,True,True
3189,景碩,TSE,796.0,736.8,790.09,2077,73,"(-256, +542, +2077)","(+45, +109, +73)",12167,【主力點火資】,False,True,False
8358,金居,OTC,412.5,402.7,508.23,1559,18,"(-438, +721, +1559)","(+28, +6, +18)",8305,【主力點火資】,False,True,True
2332,友訊,TSE,23.9,21.97,20.97,1396,102,"(-32, +1577, +1396)","(+390, -53, +102)",44198,【主力點火資】,False,True,False
5425,台半,OTC,92.8,92.56,116.24,1168,0,"(-1077, +180, +1168)","(-46, -66, +0)",12170,【主力點火資】,False,True,True
2481,強茂,TSE,157.5,151.8,185.65,1143,78,"(-907, +448, +1143)","(-46, -5, +78)",17017,【主力點火資】,False,True,True
3105,穩懋,OTC,359.0,342.7,395.07,1143,132,"(+124, +388, +1143)","(-426, -33, +132)",14090,【主力點火資】,False,True,True
8046,南電,TSE,1305.0,1205.0,1179.0,915,124,"(-411, +723, +915)","(-311, +14, +124)",17310,【主力點火資】,False,True,False
6213,聯茂,TSE,367.0,337.6,358.39,885,-71,"(+842, +663, +885)","(+91, +155, -71)",22751,【主力點火資】,False,True,False
3605,宏致,TSE,92.8,83.64,84.86,773,66,"(-313, -126, +773)","(-4, +17, +66)",7236,【主力點火資】,False,True,False
1709,和益,TSE,27.9,27.09,24.79,769,4,"(+111, +2800, +769)","(+10, -9, +4)",5816,【主力點火資】,False,True,False
2324,仁寶,TSE,36.2,35.71,35.6,597,13,"(-410, -754, +597)","(-59, +84, +13)",53058,【主力點火資】,False,True,False
2425,承啟,TSE,45.15,42.57,42.11,595,37,"(+79, +64, +595)","(+2, -1, +37)",2494,【主力點火資】,False,True,False
2377,微星,TSE,155.0,145.8,143.35,588,97,"(-400, +189, +588)","(+20, -56, +97)",17574,【主力點火資】,False,True,False
4939,亞電,OTC,70.9,67.38,61.75,581,-707,"(+327, +367, +581)","(+404, +747, -707)",40524,【主力點火資】,False,True,False
4958,臻鼎-KY,TSE,559.0,529.1,580.27,568,108,"(-2706, +926, +568)","(-214, +38, +108)",35228,【主力點火資】,False,True,True
4956,光鋐,TSE,30.4,29.93,35.32,557,4,"(-399, -262, +557)","(+0, +0, +4)",1715,【主力點火資】,False,True,True
2610,華航,TSE,21.35,21.08,21.46,540,-45,"(-248, +1045, +540)","(+50, +9, -45)",35428,【主力點火資】,False,True,True
1312,國喬,TSE,13.8,13.21,13.7,534,74,"(+1070, -244, +534)","(-8, +44, +74)",15225,【主力點火資】,False,True,False
2455,全新,TSE,324.5,298.3,329.22,518,184,"(-511, +217, +518)","(-180, +53, +184)",4810,【主力點火資】,False,True,True
1467,南緯,TSE,10.0,9.54,8.59,488,-2,"(-242, +153, +488)","(+6, +2, -2)",1370,【主力點火資】,False,True,False
1434,福懋,TSE,19.2,19.08,17.84,439,46,"(-834, +264, +439)","(+62, -62, +46)",14797,【主力點火資】,False,True,False
4979,華星光,OTC,379.0,364.8,421.98,369,8,"(-675, +214, +369)","(+11, -5, +8)",6199,【主力點火資】,False,True,True
4991,環宇-KY,OTC,420.5,382.2,466.4,364,155,"(-579, +209, +364)","(-116, +16, +155)",3594,【主力點火資】,False,True,True
2302,麗正,TSE,43.55,41.46,46.39,360,-38,"(-426, -14, +360)","(-18, -3, -38)",4461,【主力點火資】,False,True,True
6414,樺漢,TSE,490.0,427.1,392.8,358,-11,"(+318, +384, +358)","(+120, +94, -11)",3585,【主力點火資】,False,True,False
6416,瑞祺電通,TSE,106.0,96.4,90.4,338,0,"(+5, +364, +338)","(+0, +1, +0)",1292,【主力點火資】,False,True,False
1708,東鹼,TSE,54.1,53.66,55.99,335,-1,"(-109, +222, +335)","(-9, +12, -1)",4660,【主力點火資】,False,True,True
4513,福裕,OTC,22.8,21.28,18.37,325,20,"(-121, -3, +325)","(-2, +10, +20)",4418,【主力點火資】,False,True,False
4960,誠美材,TSE,22.25,21.79,24.09,317,8,"(-225, -626, +317)","(+6, -1, +8)",2932,【主力點火資】,False,True,True
2464,盟立,TSE,151.0,145.2,161.35,308,59,"(-515, -26, +308)","(+424, -519, +59)",5888,【主力點火資】,False,True,True
5471,松翰,TSE,57.5,56.64,60.68,304,10,"(-115, +179, +304)","(+5, +1, +10)",3472,【主力點火資】,False,True,True
2834,臺企銀,TSE,18.1,18.06,17.92,298,-2,"(+553, -21, +298)","(+5, -1, -2)",39101,【主力點火資】,False,True,False
2316,楠梓電,TSE,161.5,161.3,196.5,291,-1,"(-310, +110, +291)","(-18, +1, -1)",3067,【主力點火資】,False,True,True
3443,創意,TSE,4370.0,4050.0,4438.75,288,-2,"(-179, +168, +288)","(+2, +18, -2)",1723,【主力點火資】,False,True,True
2882,國泰金,TSE,96.8,95.64,96.85,279,12,"(-66, -1574, +279)","(+31, +1, +12)",23843,【主力點火資】,False,True,True
2454,聯發科,TSE,3850.0,3586.0,3908.85,270,-33,"(-118, +169, +270)","(+7, +25, -33)",8894,【主力點火資】,False,True,True
3594,磐儀,OTC,53.7,49.67,51.65,265,11,"(-40, -14, +265)","(+0, +0, +11)",1272,【主力點火資】,False,True,False
