股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
8050,廣積,OTC,60.8,60.21,57.48,385,47,"(+216, -87, +385)","(-4, -2, +47)",5080,【主力點火資】,False,True,False
2061,風青,OTC,55.4,53.38,63.99,267,-7,"(+128, +201, +267)","(+15, +11, -7)",2440,【主力點火資】,False,True,True
3362,先進光,OTC,173.5,162.1,167.88,257,501,"(+684, -489, +257)","(+249, -104, +501)",11869,【主力點火資】,False,True,False
6603,富強鑫,OTC,26.2,25.16,25.17,200,-15,"(+59, -52, +200)","(+25, +37, -15)",1790,【主力點火資】,False,True,False
3441,聯一光,OTC,84.8,73.14,70.72,196,214,"(+235, -3, +196)","(+63, +383, +214)",21443,【主力點火資】,False,True,False
3630,新鉅科,OTC,27.2,25.86,27.03,74,10,"(+68, -28, +74)","(+30, -15, +10)",1720,【主力點火資】,False,True,False
5490,同亨,OTC,33.15,32.71,30.82,62,10,"(+6, -32, +62)","(-2, +0, +10)",1952,【主力點火資】,False,True,False
4707,磐亞,OTC,25.8,30.73,35.51,164,-107,"(+59, -44, +164)","(+319, -128, -107)",4661,【散戶套牢資 / 留意斷頭】,False,False,True
4114,健喬,OTC,29.25,29.37,29.56,163,1,"(-5, -11, +163)","(+2, +0, +1)",1354,【散戶套牢資 / 留意斷頭】,False,False,True
6547,高端疫苗,OTC,45.7,46.7,46.83,107,-10,"(+19, +59, +107)","(+45, +0, -10)",2134,【散戶套牢資 / 留意斷頭】,False,False,True
4577,達航科技,OTC,69.6,72.04,78.35,103,7,"(+1, -43, +103)","(+0, +2, +7)",1127,【散戶套牢資 / 留意斷頭】,False,False,True
4167,松瑞藥,OTC,17.0,17.99,18.54,32,1,"(-141, -16, +32)","(+0, +7, +1)",1331,【散戶套牢資 / 留意斷頭】,False,False,True
6432,今展科,OTC,72.3,72.5,73.52,21,-6,"(+112, -65, +21)","(+17, +8, -6)",1398,【散戶套牢資 / 留意斷頭】,False,False,True
