股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
1810,和成,TSE,24.1,22.61,20.94,839,20,"(+2160, -810, +839)","(+228, -195, +20)",14247,【主力點火資】,False,True,False
1709,和益,TSE,24.5,23.93,21.85,422,0,"(+527, +825, +422)","(+0, +0, +0)",5214,【主力點火資】,False,True,False
3363,上詮,OTC,587.0,561.6,653.85,107,64,"(+592, -188, +107)","(+58, +0, +64)",4338,【主力點火資】,False,True,True
1909,榮成,TSE,10.75,10.22,9.89,61,-1,"(-79, -18, +61)","(+37, +0, -1)",8153,【主力點火資】,False,True,False
2530,華建,TSE,19.6,19.56,19.5,36,0,"(-12, -19, +36)","(+0, +0, +0)",1553,【主力點火資】,False,True,False
2838,聯邦銀,TSE,22.62,21.5,20.79,34,0,"(+53, +8, +34)","(+0, +0, +0)",2726,【主力點火資】,False,True,False
3037,欣興,TSE,840.0,947.78,958.32,390,82,"(+599, +334, +390)","(+0, +51, +82)",27394,【散戶套牢資 / 留意斷頭】,False,False,True
3714,富采,TSE,61.3,62.44,64.48,293,21,"(+190, -266, +293)","(-7, -12, +21)",7846,【散戶套牢資 / 留意斷頭】,False,False,True
2301,光寶科,TSE,213.0,219.4,215.85,252,-23,"(-594, -451, +252)","(-16, +22, -23)",18695,【散戶套牢資 / 留意斷頭】,False,False,True
3036,文曄,TSE,214.0,216.6,222.28,107,64,"(+182, +256, +107)","(-94, +23, +64)",10288,【散戶套牢資 / 留意斷頭】,False,False,True
2412,中華電,TSE,135.74,135.94,137.96,63,0,"(+82, -94, +63)","(-5, +0, +0)",17198,【散戶套牢資 / 留意斷頭】,False,False,True
3045,台灣大,TSE,111.61,112.47,113.45,34,0,"(+459, -577, +34)","(-30, +0, +0)",16777,【散戶套牢資 / 留意斷頭】,False,False,True
3062,建漢,TSE,24.1,24.6,25.15,27,-1,"(+67, +135, +27)","(+1, -3, -1)",2159,【散戶套牢資 / 留意斷頭】,False,False,True
3545,敦泰,TSE,57.1,57.18,56.63,26,1,"(+22, -75, +26)","(+0, +5, +1)",1726,一般資增,False,False,False
2374,佳能,TSE,74.8,75.96,75.01,17,-7,"(+89, -30, +17)","(+2, +0, -7)",5272,【散戶套牢資 / 留意斷頭】,False,False,True
2615,萬海,TSE,77.0,77.66,77.86,8,1,"(-580, +241, +8)","(+0, +4, +1)",11187,【散戶套牢資 / 留意斷頭】,False,False,True
2461,光群雷,TSE,17.55,17.64,18.06,1,-6,"(-55, +66, +1)","(+3, +0, -6)",1226,【散戶套牢資 / 留意斷頭】,False,False,True
