股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
3594,磐儀,OTC,57.9,54.26,53.04,292,7,"(-214, -173, +292)","(+23, -10, +7)",2715,【主力點火資】,False,True,False
3441,聯一光,OTC,70.7,66.28,70.48,235,63,"(-337, +25, +235)","(+10, -14, +63)",5450,【主力點火資】,False,True,False
2061,風青,OTC,54.5,52.84,65.11,128,15,"(+80, +51, +128)","(+24, -29, +15)",2809,【主力點火資】,False,True,True
6432,今展科,OTC,76.3,72.3,73.94,112,17,"(-3, +1, +112)","(+9, +7, +17)",1179,【主力點火資】,False,True,False
3260,威剛,OTC,402.0,382.3,395.43,61,-48,"(-49, +165, +61)","(+30, +5, -48)",6543,【主力點火資】,False,True,False
6274,台燿,OTC,1255.0,1286.0,1462.0,284,-61,"(-154, -175, +284)","(-8, +46, -61)",4702,【散戶套牢資 / 留意斷頭】,False,False,True
6488,環球晶,OTC,1065.0,1132.0,1249.76,242,-45,"(-253, -2186, +242)","(+246, -217, -45)",10004,【散戶套牢資 / 留意斷頭】,False,False,True
5425,台半,OTC,82.8,86.09,108.94,58,15,"(-374, -434, +58)","(+0, +0, +15)",7691,【散戶套牢資 / 留意斷頭】,False,False,True
4513,福裕,OTC,20.3,21.2,19.03,56,5,"(-366, +33, +56)","(-3, -4, +5)",2205,一般資增,False,False,False
3264,欣銓,OTC,206.0,212.1,225.85,44,-26,"(+70, +39, +44)","(+26, +28, -26)",6130,【散戶套牢資 / 留意斷頭】,False,False,True
3357,臺慶科,OTC,212.0,214.2,253.55,41,-7,"(-61, -12, +41)","(-6, -9, -7)",2151,【散戶套牢資 / 留意斷頭】,False,False,True
6509,聚和,OTC,46.75,47.44,50.82,38,0,"(-84, +54, +38)","(-1, -6, +0)",1130,【散戶套牢資 / 留意斷頭】,False,False,True
3147,大綜,OTC,230.0,230.1,232.15,35,1,"(+37, +27, +35)","(+2, -2, +1)",1045,【散戶套牢資 / 留意斷頭】,False,False,True
5450,南良,OTC,16.0,16.39,15.62,31,0,"(-60, +2, +31)","(-6, -10, +0)",1942,一般資增,False,False,False
6015,宏遠證,OTC,16.1,16.33,17.11,23,2,"(-10, +21, +23)","(+6, -20, +2)",1121,【散戶套牢資 / 留意斷頭】,False,False,True
5289,宜鼎,OTC,1330.0,1346.0,1469.75,22,-3,"(-33, +177, +22)","(+0, +9, -3)",1967,【散戶套牢資 / 留意斷頭】,False,False,True
3360,尚立,OTC,16.75,17.93,19.93,17,-4,"(-408, +21, +17)","(-15, -20, -4)",1759,【散戶套牢資 / 留意斷頭】,False,False,True
5488,松普,OTC,13.35,14.07,15.01,16,4,"(+57, +21, +16)","(+0, +2, +4)",1333,【散戶套牢資 / 留意斷頭】,False,False,True
3236,千如,OTC,42.75,44.53,56.57,14,-11,"(-55, -145, +14)","(+0, +20, -11)",3376,【散戶套牢資 / 留意斷頭】,False,False,True
