股票代號,股票名稱,市場,收盤價,5日均線,20日均線,今日融資增減,今日融券增減,近3日融資增減,近3日融券增減,5日均量(張),籌碼診斷,is_squeeze,is_major_fire,is_retail_trap
6538,倉和,OTC,128.5,125.6,135.95,155,192,"(-114, -255, +155)","(+4, +13, +192)",1826,【主力點火資】,False,True,True
8069,元太,OTC,182.0,181.9,187.72,47,-4,"(-136, -219, +47)","(+3, +62, -4)",7508,【主力點火資】,False,True,True
6274,台燿,OTC,1010.0,1133.0,1367.0,1063,8,"(-268, -308, +1063)","(+2, -15, +8)",7616,【散戶套牢資 / 留意斷頭】,False,False,True
6488,環球晶,OTC,778.0,939.2,1214.7,488,-128,"(-30, -539, +488)","(+33, -55, -128)",7607,【散戶套牢資 / 留意斷頭】,False,False,True
6175,立敦,OTC,66.5,73.64,93.3,448,10,"(-438, -438, +448)","(+19, +1, +10)",1976,【散戶套牢資 / 留意斷頭】,False,False,True
5347,世界,OTC,138.0,146.5,167.35,436,-30,"(-1545, -880, +436)","(+182, -68, -30)",23262,【散戶套牢資 / 留意斷頭】,False,False,True
5351,鈺創,OTC,66.1,75.98,88.29,274,-104,"(-800, -1194, +274)","(+530, -479, -104)",15683,【散戶套牢資 / 留意斷頭】,False,False,True
3211,順達,OTC,285.5,337.3,394.52,236,14,"(-653, -659, +236)","(+3, -70, +14)",4289,【散戶套牢資 / 留意斷頭】,False,False,True
6548,長科*,OTC,59.1,63.38,75.85,205,-214,"(-406, -1128, +205)","(+4, +216, -214)",4894,【散戶套牢資 / 留意斷頭】,False,False,True
5439,高技,OTC,185.5,212.5,271.27,134,-5,"(-586, -374, +134)","(+25, +9, -5)",3035,【散戶套牢資 / 留意斷頭】,False,False,True
5289,宜鼎,OTC,1180.0,1248.0,1401.5,124,-1,"(-160, -316, +124)","(+5, -14, -1)",2661,【散戶套牢資 / 留意斷頭】,False,False,True
2061,風青,OTC,51.2,53.08,63.17,112,2,"(+201, +267, +112)","(+11, -7, +2)",2568,【散戶套牢資 / 留意斷頭】,False,False,True
4743,合一,OTC,41.15,43.93,49.91,74,-5,"(-438, -438, +74)","(+15, -8, -5)",2465,【散戶套牢資 / 留意斷頭】,False,False,True
4114,健喬,OTC,29.05,29.31,29.61,67,0,"(-11, +163, +67)","(+0, +1, +0)",1292,【散戶套牢資 / 留意斷頭】,False,False,True
3357,臺慶科,OTC,176.5,194.7,235.1,53,4,"(-174, -404, +53)","(-5, +7, +4)",2501,【散戶套牢資 / 留意斷頭】,False,False,True
4707,磐亞,OTC,23.25,28.96,35.12,53,-84,"(-44, +164, +53)","(-128, -107, -84)",4542,【散戶套牢資 / 留意斷頭】,False,False,True
6174,安��,OTC,38.45,40.91,51.99,51,13,"(-162, -123, +51)","(+18, -11, +13)",2070,【散戶套牢資 / 留意斷頭】,False,False,True
3594,磐儀,OTC,47.0,52.42,52.36,50,-30,"(-367, -69, +50)","(+7, +20, -30)",2439,【散戶套牢資 / 留意斷頭】,False,False,True
3479,安勤,OTC,127.0,141.7,143.03,45,55,"(-85, -3, +45)","(-10, +73, +55)",2687,【散戶套牢資 / 留意斷頭】,False,False,True
6284,佳邦,OTC,65.1,73.04,87.13,45,-13,"(-252, -198, +45)","(-2, +16, -13)",1426,【散戶套牢資 / 留意斷頭】,False,False,True
6588,東典光電,OTC,81.0,87.0,80.06,29,65,"(+114, -130, +29)","(+116, -1, +65)",6777,一般資增,False,False,False
6547,高端疫苗,OTC,45.6,46.46,46.84,27,4,"(+59, +107, +27)","(+0, -10, +4)",1909,【散戶套牢資 / 留意斷頭】,False,False,True
4577,達航科技,OTC,62.7,69.92,77.11,18,-5,"(-43, +103, +18)","(+2, +7, -5)",1195,【散戶套牢資 / 留意斷頭】,False,False,True
4513,福裕,OTC,16.7,18.63,19.18,15,0,"(-43, -155, +15)","(-9, -5, +0)",1521,【散戶套牢資 / 留意斷頭】,False,False,True
6026,福邦證,OTC,13.35,13.81,14.79,15,0,"(-26, -108, +15)","(+2, +1, +0)",1562,【散戶套牢資 / 留意斷頭】,False,False,True
6015,宏遠證,OTC,14.55,15.35,16.71,14,-1,"(-488, -353, +14)","(-8, +31, -1)",2088,【散戶套牢資 / 留意斷頭】,False,False,True
3236,千如,OTC,35.25,39.47,51.6,10,1,"(-239, -381, +10)","(+1, -8, +1)",3656,【散戶套牢資 / 留意斷頭】,False,False,True
