股票代號,股票名稱,市場,籌碼診斷,T+1進場價,T+5結算價,T+5報酬率(%),T+10結算價,T+10報酬率(%)
6213,聯茂,TSE,【主力點火資】,379.0,359.5,-5.15,322.5,-14.91
6214,精誠,TSE,【主力點火資】,133.0,141.0,6.02,137.5,3.38
6215,和椿,TSE,【主力點火資】,112.42,109.94,-2.2,94.8,-15.67
6224,聚鼎,TSE,一般資增,75.1,67.3,-10.39,55.5,-26.1
6226,光鼎,TSE,一般資增,23.6,25.65,8.69,20.3,-13.98
6235,華孚,TSE,【主力點火資】,43.1,42.25,-1.97,39.25,-8.93
6239,力成,TSE,【主力點火資】,323.5,312.5,-3.4,266.5,-17.62
6257,矽格,TSE,【主力點火資】,242.0,234.5,-3.1,211.0,-12.81
6271,同欣電,TSE,一般資增,247.0,236.0,-4.45,192.5,-22.06
6278,台表科,TSE,【散戶套牢資 / 留意斷頭】,189.57,180.5,-4.79,157.5,-16.92
6412,群電,TSE,【散戶套牢資 / 留意斷頭】,89.6,86.7,-3.24,80.2,-10.49
6446,藥華藥,TSE,【主力點火資】,1346.27,1250.0,-7.15,1175.0,-12.72
6449,鈺邦,TSE,【散戶套牢資 / 留意斷頭】,308.5,317.0,2.76,238.5,-22.69
6472,保瑞,TSE,【主力點火資】,425.5,422.0,-0.82,392.5,-7.76
6525,捷敏-KY,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,221.0,192.5,-12.9,155.5,-29.64
6592,和潤企業,TSE,【主力點火資】,61.2,59.7,-2.45,60.4,-1.31
6691,洋基工程,TSE,一般資增,728.0,725.0,-0.41,693.0,-4.81
6695,芯鼎,TSE,一般資增,55.1,54.1,-1.81,52.3,-5.08
6753,龍德造船,TSE,【主力點火資】,147.0,159.5,8.5,139.5,-5.1
6770,力積電,TSE,【散戶套牢資 / 留意斷頭】,70.1,69.0,-1.57,63.0,-10.13
6781,AES-KY,TSE,【主力點火資】,1155.74,1105.0,-4.39,926.0,-19.88
6805,富世達,TSE,【散戶套牢資 / 留意斷頭】,1490.0,1410.0,-5.37,1305.0,-12.42
6901,鑽石投資,TSE,【主力點火資】,19.15,18.75,-2.09,17.7,-7.57
6909,創控,TSE,一般資增,54.1,49.85,-7.86,42.55,-21.35
6994,富威電力,TSE,【主力點火資】,44.15,41.7,-5.55,40.3,-8.72
8081,致新,TSE,【主力點火資】,303.5,276.5,-8.9,233.5,-23.06
8103,瀚荃,TSE,【主力點火資】,93.95,89.2,-5.06,76.5,-18.57
8104,錸寶,TSE,【主力點火資】,40.05,40.6,1.37,33.45,-16.48
8105,凌巨,TSE,【散戶套牢資 / 留意斷頭】,20.55,18.9,-8.03,16.05,-21.9
8112,至上,TSE,【主力點火資】,90.2,87.5,-2.99,80.9,-10.31
8131,福懋科,TSE,【主力點火資】,77.95,76.17,-2.28,67.2,-13.79
8215,明基材,TSE,【主力點火資】,28.4,27.06,-4.7,24.15,-14.96
8222,寶一,TSE,【主力點火資】,41.01,41.01,0.0,37.8,-7.82
8271,宇瞻,TSE,【主力點火資】,185.5,183.0,-1.35,184.0,-0.81
8476,台境*,TSE,一般資增,23.0,22.0,-4.35,24.35,5.87
8926,台汽電,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,78.5,69.3,-11.72,64.0,-18.47
9904,寶成,TSE,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,24.35,24.25,-0.41,24.35,0.0
9910,豐泰,TSE,【主力點火資】,68.3,67.4,-1.32,68.2,-0.15
9914,美利達,TSE,一般資增,75.0,75.4,0.53,79.8,6.4
9935,慶豐富,TSE,【主力點火資】,18.75,18.8,0.27,18.8,0.27
9939,宏全,TSE,【主力點火資】,124.5,124.0,-0.4,128.5,3.21
9945,潤泰新,TSE,【散戶套牢資 / 留意斷頭】,25.75,25.4,-1.36,26.4,2.52
9958,世紀鋼,TSE,【主力點火資】,117.5,116.5,-0.85,113.0,-3.83
1584,精剛,OTC,【主力點火資】,19.45,20.95,7.71,19.4,-0.26
3066,李洲,OTC,【主力點火資】,30.2,26.3,-12.91,22.25,-26.32
3078,僑威,OTC,【主力點火資】,58.2,55.3,-4.98,51.5,-11.51
3081,聯亞,OTC,【散戶套牢資 / 留意斷頭】,1728.85,1805.99,4.46,1435.0,-17.0
3088,艾訊,OTC,【主力點火資】,139.0,139.5,0.36,126.0,-9.35
3093,港建*,OTC,一般資增,62.0,54.3,-12.42,45.6,-26.45
3105,穩懋,OTC,【主力點火資】,409.5,403.0,-1.59,313.5,-23.44
3141,晶宏,OTC,【主力點火資】,75.1,71.9,-4.26,62.3,-17.04
3162,精確,OTC,【主力點火資】,83.23,81.3,-2.32,67.5,-18.9
3163,波若威,OTC,【主力點火資】,742.0,750.0,1.08,622.0,-16.17
3211,順達,OTC,【主力點火資】,389.0,457.5,17.61,354.0,-9.0
3227,原相,OTC,【主力點火資】,221.52,201.0,-9.26,182.5,-17.61
3264,欣銓,OTC,【主力點火資】,231.5,225.0,-2.81,197.5,-14.69
3265,台星科,OTC,【主力點火資】,173.5,168.0,-3.17,150.5,-13.26
3284,太普高,OTC,【主力點火資】,28.4,25.65,-9.69,23.95,-15.67
3294,英濟,OTC,【主力點火資】,38.65,37.1,-4.01,30.95,-19.92
3317,尼克森,OTC,【主力點火資】,96.9,92.0,-5.06,77.8,-19.71
3323,加百裕,OTC,【主力點火資】,35.0,34.75,-0.71,29.8,-14.86
3324,雙鴻,OTC,【散戶套牢資 / 留意斷頭】,970.0,905.0,-6.7,858.0,-11.55
3357,臺慶科,OTC,【散戶套牢資 / 留意斷頭】,262.5,258.0,-1.71,207.5,-20.95
3374,精材,OTC,【主力點火資】,295.0,358.0,21.36,345.5,17.12
3402,漢科,OTC,【主力點火資】,140.88,141.83,0.68,134.17,-4.76
3479,安勤,OTC,【主力點火資】,135.0,142.5,5.56,135.0,0.0
3490,單井,OTC,【主力點火資】,32.67,30.9,-5.42,26.75,-18.12
3498,陽程,OTC,🔥【資券同增：潛在軋空強勢股】 | 【主力點火資】,123.0,131.0,6.5,109.5,-10.98
3511,矽瑪,OTC,【主力點火資】,28.15,23.85,-15.28,20.0,-28.95
3520,華盈,OTC,【主力點火資】,17.05,16.45,-3.52,16.4,-3.81
3537,堡達,OTC,【散戶套牢資 / 留意斷頭】,68.8,66.0,-4.07,55.1,-19.91
3615,安可,OTC,【散戶套牢資 / 留意斷頭】,47.73,46.8,-1.96,38.7,-18.92
3680,家登,OTC,一般資增,507.0,523.0,3.16,437.5,-13.71
3689,湧德,OTC,一般資增,123.0,119.5,-2.85,106.0,-13.82
3691,碩禾,OTC,【主力點火資】,148.5,143.0,-3.7,115.5,-22.22
3707,漢磊,OTC,一般資增,81.5,85.5,4.91,64.8,-20.49
4128,中天,OTC,【主力點火資】,17.65,16.15,-8.5,15.45,-12.46
4147,中裕,OTC,【主力點火資】,72.6,64.3,-11.43,58.9,-18.87
4157,太景*-KY,OTC,【主力點火資】,9.05,8.93,-1.33,8.52,-5.86
4167,松瑞藥,OTC,【主力點火資】,21.25,20.65,-2.82,20.5,-3.53
4510,高鋒,OTC,【主力點火資】,42.35,42.6,0.59,38.1,-10.04
4533,協易機,OTC,【主力點火資】,30.0,29.1,-3.0,25.85,-13.83
4541,晟田,OTC,【主力點火資】,61.1,67.1,9.82,68.9,12.77
4542,科嶠,OTC,一般資增,403.5,354.0,-12.27,295.0,-26.89
4716,大立,OTC,【主力點火資】,23.7,22.5,-5.06,18.15,-23.42
4931,新盛力,OTC,【主力點火資】,247.5,237.0,-4.24,202.5,-18.18
4939,亞電,OTC,【主力點火資】,59.1,57.2,-3.21,66.2,12.01
4966,譜瑞-KY,OTC,【散戶套牢資 / 留意斷頭】,650.0,647.0,-0.46,567.0,-12.77
4973,廣穎,OTC,【主力點火資】,162.5,163.0,0.31,135.5,-16.62
4991,環宇-KY,OTC,【散戶套牢資 / 留意斷頭】,469.0,450.5,-3.94,348.0,-25.8
5228,鈺鎧,OTC,【散戶套牢資 / 留意斷頭】,57.7,52.5,-9.01,41.6,-27.9
5230,雷笛克光學,OTC,【主力點火資】,19.45,20.2,3.86,18.15,-6.68
5289,宜鼎,OTC,【主力點火資】,1590.0,1515.0,-4.72,1215.0,-23.58
5299,杰力,OTC,【主力點火資】,123.46,111.84,-9.41,91.9,-25.56
5309,系統電,OTC,【主力點火資】,63.5,62.1,-2.2,53.3,-16.06
5347,世界,OTC,一般資增,175.0,178.5,2.0,152.5,-12.86
5351,鈺創,OTC,【主力點火資】,93.1,100.0,7.41,82.8,-11.06
5425,台半,OTC,【主力點火資】,131.0,117.5,-10.31,86.0,-34.35
5426,振發,OTC,【散戶套牢資 / 留意斷頭】,30.5,29.5,-3.28,25.55,-16.23
5498,凱崴,OTC,【主力點火資】,61.0,58.1,-4.75,47.1,-22.79
5512,力麒,OTC,【主力點火資】,8.07,7.84,-2.85,7.81,-3.22
5864,致和證,OTC,【主力點火資】,42.0,37.45,-10.83,31.9,-24.05
6015,宏遠證,OTC,【主力點火資】,17.4,17.3,-0.57,16.0,-8.05
6121,新普,OTC,【主力點火資】,433.92,399.5,-7.93,362.5,-16.46
6125,廣運,OTC,【主力點火資】,57.8,57.4,-0.69,49.9,-13.67
6147,頎邦,OTC,【主力點火資】,200.0,198.0,-1.0,164.0,-18.0
6156,松上,OTC,一般資增,28.2,28.15,-0.18,23.55,-16.49
6167,久正,OTC,【主力點火資】,12.05,11.7,-2.9,10.6,-12.03
6179,亞通,OTC,【主力點火資】,26.95,27.85,3.34,24.2,-10.2
6180,橘子,OTC,一般資增,46.75,45.35,-2.99,43.6,-6.74
6190,萬泰科,OTC,【主力點火資】,80.56,76.46,-5.08,69.2,-14.1
6234,高僑,OTC,【主力點火資】,45.65,44.7,-2.08,35.75,-21.69
6244,茂迪,OTC,【主力點火資】,26.01,26.16,0.57,24.86,-4.4
6265,方土昶,OTC,【主力點火資】,50.3,54.1,7.55,45.4,-9.74
6270,倍微,OTC,【主力點火資】,35.3,35.6,0.85,30.3,-14.16
6284,佳邦,OTC,一般資增,97.62,97.9,0.29,78.0,-20.1
6411,晶焱,OTC,【主力點火資】,96.5,93.2,-3.42,79.2,-17.93
6432,今展科,OTC,【主力點火資】,75.2,73.7,-1.99,66.0,-12.23
6488,環球晶,OTC,【主力點火資】,1200.36,1479.28,23.24,1265.0,5.39
6538,倉和,OTC,一般資增,125.5,149.5,19.12,141.5,12.75
6547,高端疫苗,OTC,【主力點火資】,47.25,45.85,-2.96,47.0,-0.53
6548,長科*,OTC,【主力點火資】,89.3,84.7,-5.15,66.6,-25.42
6603,富強鑫,OTC,【主力點火資】,25.8,25.2,-2.33,24.1,-6.59
6684,安格,OTC,一般資增,54.6,51.6,-5.49,49.35,-9.62
6727,亞泰金屬,OTC,【主力點火資】,489.66,460.48,-5.96,331.0,-32.4
6821,聯寶,OTC,【散戶套牢資 / 留意斷頭】,53.5,51.1,-4.49,43.5,-18.69
6829,千附精密,OTC,【主力點火資】,205.0,233.5,13.9,194.5,-5.12
7777,能率亞洲,OTC,一般資增,41.8,39.25,-6.1,37.9,-9.33
8027,鈦昇,OTC,【主力點火資】,216.0,241.0,11.57,194.0,-10.19
8069,元太,OTC,一般資增,192.06,189.64,-1.26,175.5,-8.62
8074,鉅橡,OTC,【散戶套牢資 / 留意斷頭】,65.4,62.5,-4.43,53.7,-17.89
8088,品安,OTC,【主力點火資】,57.1,53.6,-6.13,45.15,-20.93
8091,翔名,OTC,【主力點火資】,268.0,277.5,3.54,241.5,-9.89
8096,擎亞,OTC,【主力點火資】,154.5,158.5,2.59,128.0,-17.15
8255,朋程,OTC,【主力點火資】,182.5,176.5,-3.29,146.0,-20.0
8299,群聯,OTC,【散戶套牢資 / 留意斷頭】,2145.0,2170.0,1.17,1735.0,-19.11
8358,金居,OTC,【散戶套牢資 / 留意斷頭】,520.62,495.73,-4.78,371.0,-28.74
8383,千附,OTC,【主力點火資】,60.06,74.33,23.75,80.2,33.53
